University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Johns Hopkins University,University of Illinois,JHU-UIUC,0.47330627,0.3562337,0.39669913,0.50415343,0.43294463,0.41409382,0.854320786,0.843569743
Johns Hopkins University,Carnegie Mellon University,JHU-CMU,0.50349283,0.37840873,0.4355185,0.5106647,0.44043744,0.4632355,0.848921201,0.855792231
Johns Hopkins University,University of Cambridge,JHU-UCam,0.5834042,0.44732785,0.45177883,0.5118798,0.46322328,0.53137743,0.857064877,0.866186896
Johns Hopkins University,University of Oxford,JHU-Oxon,0.5044043,0.4842152,0.4640669,0.5799179,0.4278242,0.5054464,0.842697842,0.858428345
Johns Hopkins University,University of California,JHU-UC,0.5590348,0.43126604,0.4033676,0.55742586,0.4037941,0.45520455,0.862046996,0.849867174
Johns Hopkins University,Imperial College London,JHU-ICL,0.5016769,0.41487542,0.51052415,0.5519222,0.48212582,0.5219469,0.813832967,0.864884915
Johns Hopkins University,University of Hong Kong,JHU-HKU,0.52678734,0.39692152,0.47833633,0.53357714,0.45882264,0.5185747,0.868698625,0.860928624
University of Illinois,Johns Hopkins University,UIUC-JHU,0.52049357,0.35114276,0.40017533,0.49328086,0.3341454,0.39917707,0.845330647,0.857985686
University of Illinois,Carnegie Mellon University,UIUC-CMU,0.5494156,0.42706454,0.47594076,0.66758555,0.541685,0.5114856,0.883607453,0.866053997
University of Illinois,University of Cambridge,UIUC-UCam,0.559274,0.4629159,0.530553,0.66430295,0.59395933,0.4900893,0.874907204,0.876002475
University of Illinois,University of Oxford,UIUC-Oxon,0.5244574,0.4888488,0.55361015,0.63673735,0.58415776,0.4549251,0.843953735,0.861455716
University of Illinois,University of California,UIUC-UC,0.5532897,0.53437907,0.56437635,0.68235624,0.550964,0.49328828,0.864227746,0.872341082
University of Illinois,Imperial College London,UIUC-ICL,0.5301154,0.4663999,0.61720234,0.69952476,0.61618704,0.516194,0.863746824,0.885187734
University of Illinois,University of Hong Kong,UIUC-HKU,0.5309118,0.45028672,0.47368056,0.723381,0.5725811,0.4805885,0.888863248,0.886951613
Carnegie Mellon University,Johns Hopkins University,CMU-JHU,0.4751274,0.40362534,0.3666649,0.57012224,0.3866052,0.4276315,0.821333131,0.832938231
Carnegie Mellon University,University of Illinois,CMU-UIUC,0.58171135,0.49171215,0.49580622,0.6764912,0.5851198,0.548446,0.868715678,0.847304679
Carnegie Mellon University,University of Cambridge,CMU-UCam,0.4537664,0.42874697,0.43182507,0.5995406,0.48801416,0.44961554,0.817374823,0.824475394
Carnegie Mellon University,University of Oxford,CMU-Oxon,0.4942291,0.44171727,0.38488126,0.60305023,0.4359767,0.45576954,0.794975388,0.823035382
Carnegie Mellon University,University of California,CMU-UC,0.4747942,0.41510004,0.36099803,0.644952,0.44551027,0.4294477,0.828900906,0.812679182
Carnegie Mellon University,Imperial College London,CMU-ICL,0.48802382,0.49343222,0.49553794,0.6752862,0.5507058,0.5672351,0.832272281,0.844273735
Carnegie Mellon University,University of Hong Kong,CMU-HKU,0.4911073,0.51244724,0.5253277,0.6520877,0.55323076,0.55799276,0.874535334,0.852359932
