University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Massachusetts Institute of Technology,University College London,MIT-UCL,0.5074971,0.42537394,0.39766586,0.6835634,0.4078387,0.45933357,0.899252207,0.879642312
Massachusetts Institute of Technology,Columbia University,MIT-CU,0.51532304,0.44098496,0.43052003,0.7186888,0.5237829,0.47746885,0.89460195,0.885677291
Massachusetts Institute of Technology,Johns Hopkins University,MIT-JHU,0.41974875,0.35916284,0.3504815,0.6260751,0.4495834,0.403302,0.828273277,0.868901469
Massachusetts Institute of Technology,University of Illinois,MIT-UIUC,0.41047087,0.3228796,0.28831273,0.62017167,0.38810486,0.32842657,0.898367649,0.857260321
Massachusetts Institute of Technology,Carnegie Mellon University,MIT-CMU,0.5384216,0.4269894,0.40591565,0.6744676,0.50855,0.45952716,0.922904156,0.882641534
Massachusetts Institute of Technology,University of Cambridge,MIT-UCam,0.39522663,0.2668108,0.26636532,0.48618737,0.31656125,0.2815923,0.841258345,0.832745972
Massachusetts Institute of Technology,University of Oxford,MIT-Oxon,0.4797071,0.4258758,0.4245335,0.63777703,0.48151818,0.43163058,0.827350735,0.873203279
Massachusetts Institute of Technology,University of Edinburgh,MIT-UEdin,0.48253337,0.4726962,0.3972183,0.6528938,0.50932026,0.46479,0.915698636,0.885923748
Massachusetts Institute of Technology,Monash University,MIT-MON,0.52759373,0.4293325,0.39337856,0.61519,0.5038538,0.43641815,0.900022865,0.877506273
Massachusetts Institute of Technology,NTU,MIT-NTU,0.4812593,0.3748255,0.35508987,0.5569299,0.46591735,0.39681596,0.861013213,0.856981829
Massachusetts Institute of Technology,Imperial College London,MIT-ICL,0.4869822,0.30358213,0.33216286,0.60213596,0.38589844,0.3730438,0.857040545,0.844420109
Massachusetts Institute of Technology,University of Hong Kong,MIT-HKU,0.4820579,0.4486412,0.39325082,0.6493578,0.49828652,0.5012905,0.916905756,0.876804914
University College London,Massachusetts Institute of Technology,UCL-MIT,0.5028571,0.4894284,0.48865968,0.72666824,0.48398322,0.48221257,0.893903043,0.884146978
University College London,Columbia University,UCL-CU,0.54479855,0.55325824,0.54726076,0.7741496,0.50604534,0.5423479,0.900704255,0.889998638
University College London,Johns Hopkins University,UCL-JHU,0.45802033,0.5113762,0.54343224,0.71114635,0.5275883,0.5573424,0.866465041,0.873407249
University College London,University of Illinois,UCL-UIUC,0.50470304,0.5257723,0.5157737,0.7287404,0.56935036,0.557945,0.858790992,0.885313219
University College London,Carnegie Mellon University,UCL-CMU,0.43769267,0.49163914,0.42587316,0.6587493,0.4200287,0.46075836,0.897339864,0.874751768
University College London,University of Cambridge,UCL-UCam,0.50199264,0.50460887,0.51327807,0.59405476,0.55934995,0.49405923,0.867336882,0.868057384
University College London,University of Oxford,UCL-Oxon,0.4742354,0.49899456,0.5512678,0.6549224,0.50891024,0.5492396,0.857517579,0.874394811
University College London,University of Edinburgh,UCL-UEdin,0.47131792,0.5450929,0.5054078,0.6771269,0.48423958,0.49432388,0.8509356,0.885849412
University College London,Monash University,UCL-MON,0.51452553,0.47890377,0.48435038,0.5902802,0.4833285,0.4631625,0.867659027,0.87526447
University College London,NTU,UCL-NTU,0.43134293,0.36681506,0.38224083,0.5554492,0.41758344,0.4157634,0.852216045,0.857226793
University College London,Imperial College London,UCL-ICL,0.5188524,0.43106297,0.57499534,0.66804534,0.5230172,0.5144138,0.870993778,0.876311485
University College London,University of Hong Kong,UCL-HKU,0.5354008,0.5709315,0.6692025,0.71541613,0.57525283,0.5508567,0.861993404,0.896708417
Columbia University,Massachusetts Institute of Technology,CU-MIT,0.4942271,0.43821916,0.43577874,0.6910717,0.4864567,0.4547052,0.887089943,0.866356869
Columbia University,University College London,CU-UCL,0.57121783,0.6154124,0.6549433,0.86018926,0.6691571,0.63357383,0.913524367,0.903898119
Columbia University,Johns Hopkins University,CU-JHU,0.51704234,0.5322003,0.58513016,0.6977999,0.58315945,0.5965377,0.866420555,0.877523749
Columbia University,University of Illinois,CU-UIUC,0.54276127,0.45169345,0.45857334,0.6633173,0.562771,0.51911855,0.853554314,0.872686713
Columbia University,Carnegie Mellon University,CU-CMU,0.49984944,0.48644653,0.42483497,0.63795835,0.43806872,0.47520137,0.914352271,0.86552584
Columbia University,University of Cambridge,CU-UCam,0.49534503,0.41652367,0.48345134,0.5612758,0.5157748,0.47874716,0.84947263,0.852230929
Columbia University,University of Oxford,CU-Oxon,0.5293912,0.5051139,0.5243388,0.6265405,0.5741518,0.55343014,0.852865777,0.875239405
Columbia University,University of Edinburgh,CU-UEdin,0.49030948,0.5276835,0.45434985,0.637289,0.5262667,0.5215605,0.843968772,0.877493453
Columbia University,Monash University,CU-MON,0.5030498,0.43056473,0.44231352,0.5702676,0.4787144,0.44440323,0.853739415,0.862412729
Columbia University,NTU,CU-NTU,0.46732807,0.3316509,0.36228338,0.50857604,0.39680505,0.3725702,0.837466882,0.842123354
Columbia University,Imperial College London,CU-ICL,0.50186116,0.40674114,0.50053895,0.61907,0.50678265,0.4693603,0.859000438,0.859911748
Columbia University,University of Hong Kong,CU-HKU,0.5416277,0.5757497,0.59091187,0.6804308,0.58693224,0.5898968,0.859205931,0.881680641
Johns Hopkins University,Massachusetts Institute of Technology,JHU-MIT,0.39168143,0.32987776,0.41566244,0.5956862,0.44928396,0.418196,0.801705611,0.849232151
Johns Hopkins University,University College London,JHU-UCL,0.35718665,0.3386025,0.48940292,0.6165461,0.46933246,0.48231557,0.831125663,0.847495994
Johns Hopkins University,Columbia University,JHU-CU,0.5134373,0.40775874,0.5158458,0.64921683,0.454846,0.5045243,0.829932439,0.860215761
Johns Hopkins University,University of Illinois,JHU-UIUC,0.4841578,0.38388878,0.46220154,0.6203507,0.5106367,0.4616897,0.792643772,0.854271812
Johns Hopkins University,Carnegie Mellon University,JHU-CMU,0.531184,0.41416454,0.5033307,0.6447889,0.4704045,0.5181915,0.828944704,0.867172516
Johns Hopkins University,University of Cambridge,JHU-UCam,0.36661077,0.27133784,0.39343643,0.5074944,0.3869249,0.35988092,0.792970116,0.817461676
Johns Hopkins University,University of Oxford,JHU-Oxon,0.5422341,0.53334033,0.5943654,0.6718152,0.57686704,0.58233094,0.854807471,0.872526562
Johns Hopkins University,University of Edinburgh,JHU-UEdin,0.42065686,0.4402332,0.4579959,0.59613174,0.5160049,0.4975115,0.769504165,0.862063979
Johns Hopkins University,Monash University,JHU-MON,0.41522565,0.35893887,0.4369592,0.5457025,0.4707119,0.40822774,0.799172654,0.84107542
Johns Hopkins University,NTU,JHU-NTU,0.5053171,0.40800673,0.4689453,0.59059125,0.5205098,0.48820493,0.816856604,0.852222852
Johns Hopkins University,Imperial College London,JHU-ICL,0.39917776,0.32000607,0.4307151,0.58749384,0.48659095,0.4236125,0.802403473,0.839661416
Johns Hopkins University,University of Hong Kong,JHU-HKU,0.47059873,0.4093326,0.5147835,0.5761371,0.5313167,0.5016217,0.7621533,0.844666808
University of Illinois,Massachusetts Institute of Technology,UIUC-MIT,0.45792976,0.33819592,0.38755226,0.65677357,0.5068538,0.37506443,0.894183382,0.853870324
University of Illinois,University College London,UIUC-UCL,0.4345776,0.3609252,0.4507636,0.70439404,0.5245256,0.44555116,0.845893379,0.86234831
University of Illinois,Columbia University,UIUC-CU,0.48379862,0.35809717,0.3954517,0.6647145,0.49937272,0.3889761,0.839976859,0.852449453
University of Illinois,Johns Hopkins University,UIUC-JHU,0.43752688,0.34248,0.40243345,0.6392785,0.5152423,0.37712118,0.795787376,0.847213154
University of Illinois,Carnegie Mellon University,UIUC-CMU,0.506141,0.33816805,0.3882558,0.6247323,0.46451768,0.40675548,0.87076174,0.851697556
University of Illinois,University of Cambridge,UIUC-UCam,0.4425988,0.3259882,0.3267155,0.53382546,0.45455608,0.35353598,0.802005285,0.828912108
University of Illinois,University of Oxford,UIUC-Oxon,0.53244555,0.4293673,0.42558908,0.6701308,0.5666402,0.4747114,0.792222996,0.859445889
University of Illinois,University of Edinburgh,UIUC-UEdin,0.43688858,0.31391063,0.36164415,0.6168269,0.5358663,0.38552082,0.883170697,0.853987603
University of Illinois,Monash University,UIUC-MON,0.45928797,0.33366415,0.35912138,0.5709928,0.5024447,0.38474503,0.85910997,0.840711842
University of Illinois,NTU,UIUC-NTU,0.47698003,0.3065812,0.34848383,0.57665586,0.49974474,0.40036607,0.836526849,0.850450073
University of Illinois,Imperial College London,UIUC-ICL,0.45704886,0.30326214,0.37111527,0.6222866,0.5388881,0.37101984,0.822467506,0.839178904
University of Illinois,University of Hong Kong,UIUC-HKU,0.47603965,0.36898324,0.45158353,0.6406063,0.5970904,0.4723215,0.88570091,0.853218593
Carnegie Mellon University,Massachusetts Institute of Technology,CMU-MIT,0.513124,0.4172066,0.4288329,0.67597336,0.45737898,0.44139472,0.90567752,0.871881326
Carnegie Mellon University,University College London,CMU-UCL,0.47971594,0.5290093,0.49739328,0.7250684,0.5254762,0.5338455,0.89907546,0.878009477
Carnegie Mellon University,Columbia University,CMU-CU,0.5681434,0.5347131,0.54618543,0.74712557,0.5186874,0.57294357,0.918097258,0.885437619
Carnegie Mellon University,Johns Hopkins University,CMU-JHU,0.51449454,0.48110235,0.54203975,0.6879971,0.50601614,0.5336629,0.863803433,0.879744553
Carnegie Mellon University,University of Illinois,CMU-UIUC,0.4689713,0.40961123,0.42869425,0.62796634,0.5032712,0.44929895,0.866724812,0.866772161
Carnegie Mellon University,University of Cambridge,CMU-UCam,0.43627593,0.35698363,0.41356716,0.52140313,0.394335,0.39848366,0.844889924,0.841843545
Carnegie Mellon University,University of Oxford,CMU-Oxon,0.50705427,0.46415862,0.48068967,0.6131421,0.45720947,0.49537838,0.846703961,0.868297929
Carnegie Mellon University,University of Edinburgh,CMU-UEdin,0.53396726,0.50036526,0.4866616,0.6787584,0.51508695,0.5027641,0.868684901,0.876674089
Carnegie Mellon University,Monash University,CMU-MON,0.48645443,0.3846187,0.38369244,0.5622161,0.42392835,0.4192253,0.860760919,0.85463971
Carnegie Mellon University,NTU,CMU-NTU,0.5691977,0.40235445,0.4298835,0.5921698,0.5044497,0.4835289,0.852165212,0.853462663
Carnegie Mellon University,Imperial College London,CMU-ICL,0.43371913,0.30431303,0.39480203,0.5736357,0.4366035,0.37522247,0.86088952,0.846913377
Carnegie Mellon University,University of Hong Kong,CMU-HKU,0.5402207,0.49150404,0.5031037,0.65857667,0.53928787,0.52782345,0.877812081,0.875532511
University of Cambridge,Massachusetts Institute of Technology,UCam-MIT,0.26475492,0.17644826,0.2777084,0.4200095,0.27262592,0.18595533,0.827014444,0.784357836
University of Cambridge,University College London,UCam-UCL,0.36020803,0.25603965,0.34958455,0.4810973,0.36305296,0.2838334,0.824700746,0.78698449
University of Cambridge,Columbia University,UCam-CU,0.26580715,0.16133575,0.29071635,0.41253445,0.26683107,0.18908854,0.814123666,0.778691222
University of Cambridge,Johns Hopkins University,UCam-JHU,0.25941882,0.16370787,0.29791573,0.4383871,0.3050288,0.19507614,0.768536081,0.774631926
University of Cambridge,University of Illinois,UCam-UIUC,0.33329424,0.24960704,0.33735174,0.45367938,0.3477921,0.28836676,0.801575129,0.79700982
