University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University College London,Johns Hopkins University,UCL-JHU,0.5174603,0.36334285,0.437049,0.6179006,0.49356613,0.40588924,0.845588221,0.869104949
University College London,University of Illinois,UCL-UIUC,0.6016522,0.5469034,0.5844604,0.7271358,0.5964787,0.51967055,0.921547575,0.89025945
University College London,Carnegie Mellon University,UCL-CMU,0.48710346,0.49030662,0.4889182,0.6281486,0.5344619,0.47396743,0.851573823,0.850050735
University College London,Georgia Institute of Technology,UCL-Georgia Tech,0.56545234,0.51388097,0.55116385,0.72308815,0.5563316,0.5261974,0.923494258,0.883397197
University College London,University of Cambridge,UCL-UCam,0.47161436,0.40401953,0.42233795,0.54579735,0.51135504,0.46082196,0.827454951,0.84534248
University College London,University of Oxford,UCL-Oxon,0.5281524,0.3905465,0.47609633,0.561002,0.42198735,0.41174433,0.883645104,0.847008453
University College London,University of Edinburgh,UCL-UEdin,0.5121314,0.5074442,0.5399442,0.67541057,0.52131903,0.46137562,0.894658008,0.868829958
University College London,Monash University,UCL-MON,0.66424215,0.48606157,0.50604105,0.6604619,0.5807179,0.524799,0.909760993,0.889556808
University College London,EPFL,UCL-EPFL,0.47037688,0.44031164,0.55264866,0.6693453,0.5454334,0.47210923,0.894146441,0.869844253
University College London,University of Hong Kong,UCL-HKU,0.5437681,0.49016637,0.51474786,0.671332,0.5519254,0.49530545,0.900951956,0.8762469
Johns Hopkins University,University College London,JHU-UCL,0.5719608,0.50028634,0.593857,0.7007069,0.66844535,0.56585187,0.8663717,0.903212509
Johns Hopkins University,University of Illinois,JHU-UIUC,0.52503306,0.3816237,0.465492,0.59589434,0.55639315,0.40987113,0.824859036,0.870938759
Johns Hopkins University,Carnegie Mellon University,JHU-CMU,0.5482188,0.46353662,0.4785316,0.5975582,0.5689366,0.45137826,0.786310464,0.864612278
Johns Hopkins University,Georgia Institute of Technology,JHU-Georgia Tech,0.52539897,0.45028642,0.5469464,0.65922546,0.6121618,0.4843326,0.848242673,0.885474565
Johns Hopkins University,University of Cambridge,JHU-UCam,0.47117504,0.4464354,0.48710826,0.6308119,0.5935821,0.50392145,0.837647891,0.863682485
Johns Hopkins University,University of Oxford,JHU-Oxon,0.6073587,0.47034082,0.5737003,0.65810084,0.5722492,0.50462735,0.834377123,0.880772162
Johns Hopkins University,University of Edinburgh,JHU-UEdin,0.50517535,0.448713,0.5013343,0.66377234,0.5774034,0.43824488,0.821484879,0.865448505
Johns Hopkins University,Monash University,JHU-MON,0.665963,0.5649683,0.6635877,0.6730891,0.7168742,0.6384551,0.806595976,0.914063442
Johns Hopkins University,EPFL,JHU-EPFL,0.5186265,0.45868102,0.5595408,0.6816714,0.60417324,0.5367549,0.865505906,0.883527412
Johns Hopkins University,University of Hong Kong,JHU-HKU,0.5288834,0.3855173,0.5153368,0.6510657,0.6216851,0.45962948,0.84543636,0.879815794
University of Illinois,University College London,UIUC-UCL,0.59367055,0.5768592,0.7027485,0.819657,0.7263949,0.63841456,0.925090494,0.915535955
