University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University College London,Johns Hopkins University,UCL-JHU,0.47791708,0.38346043,0.35568237,0.5059514,0.36295986,0.46470633,0.775622085,0.822268294
University College London,University of Illinois,UCL-UIUC,0.46453786,0.45576462,0.3810926,0.6176357,0.46773773,0.4905282,0.784418561,0.8408136
University College London,Carnegie Mellon University,UCL-CMU,0.44216207,0.3806897,0.3951608,0.56455636,0.41888365,0.4430743,0.78584126,0.817335428
University College London,University of Cambridge,UCL-UCam,0.49972764,0.4626791,0.409422,0.6113955,0.46706766,0.5286911,0.847061447,0.84537948
University College London,University of Edinburgh,UCL-UEdin,0.5234887,0.4151064,0.4759941,0.61778855,0.4939739,0.5137032,0.816065746,0.844537676
University College London,Monash University,UCL-MON,0.56892264,0.4419883,0.45897928,0.5759344,0.46162915,0.49261862,0.795275268,0.84171933
University College London,Imperial College London,UCL-ICL,0.41109952,0.3493555,0.3615786,0.55805916,0.42937854,0.44170094,0.797834641,0.816340501
University College London,University of Waterloo,UCL-UWaterloo,0.44014496,0.3733066,0.40555927,0.5696029,0.4422446,0.48326024,0.8000982,0.825252437
University College London,University of Hong Kong,UCL-HKU,0.5236515,0.4551901,0.35003257,0.5871471,0.43938357,0.50188464,0.766070542,0.83275888
Johns Hopkins University,University College London,JHU-UCL,0.5342474,0.5028596,0.51333725,0.5837617,0.54488474,0.5473178,0.835462409,0.862503104
Johns Hopkins University,University of Illinois,JHU-UIUC,0.58644915,0.67213136,0.6794606,0.7474817,0.73751014,0.6619755,0.912120919,0.89236282
Johns Hopkins University,Carnegie Mellon University,JHU-CMU,0.47787124,0.4511104,0.50984424,0.6189888,0.53420967,0.4581538,0.883045098,0.841494377
Johns Hopkins University,University of Cambridge,JHU-UCam,0.48204637,0.43986163,0.48322138,0.5569981,0.5461486,0.50435513,0.837007093,0.8408755
Johns Hopkins University,University of Edinburgh,JHU-UEdin,0.610682,0.6321821,0.6971344,0.7379154,0.73363465,0.6620772,0.866579218,0.892673937
Johns Hopkins University,Monash University,JHU-MON,0.5993032,0.5863689,0.6761273,0.68300855,0.6691325,0.60768193,0.918609353,0.880214068
Johns Hopkins University,Imperial College London,JHU-ICL,0.45337638,0.4972123,0.55218834,0.6361827,0.5947853,0.51198584,0.875693399,0.855326491
Johns Hopkins University,University of Waterloo,JHU-UWaterloo,0.5249554,0.4945586,0.5700521,0.65034974,0.5667385,0.5521711,0.858654707,0.855284185
Johns Hopkins University,University of Hong Kong,JHU-HKU,0.6411755,0.67504036,0.73473924,0.76384777,0.7512126,0.6613847,0.924576501,0.888459618
University of Illinois,University College London,UIUC-UCL,0.4336854,0.4815592,0.49589124,0.6276841,0.5344124,0.527884,0.850433969,0.863850156
University of Illinois,Johns Hopkins University,UIUC-JHU,0.5639835,0.6193785,0.6583641,0.7414672,0.6900404,0.65101427,0.928448368,0.899423087
University of Illinois,Carnegie Mellon University,UIUC-CMU,0.47564733,0.47336447,0.4994058,0.655041,0.5553112,0.4724134,0.898402246,0.85948538
University of Illinois,University of Cambridge,UIUC-UCam,0.49847978,0.49510485,0.48240337,0.60010844,0.5571276,0.49710378,0.862160847,0.857022981
University of Illinois,University of Edinburgh,UIUC-UEdin,0.5400075,0.6182598,0.653931,0.7660888,0.6966347,0.6628085,0.890529764,0.899254563
University of Illinois,Monash University,UIUC-MON,0.49915683,0.601324,0.57148165,0.674029,0.60068417,0.57497436,0.920070128,0.881875055
University of Illinois,Imperial College London,UIUC-ICL,0.49471605,0.5374207,0.5563829,0.71569866,0.6407821,0.5478372,0.904296206,0.881020122
University of Illinois,University of Waterloo,UIUC-UWaterloo,0.48114195,0.47691053,0.50822467,0.6807421,0.58250695,0.49301338,0.876018203,0.860170704
University of Illinois,University of Hong Kong,UIUC-HKU,0.58280736,0.6904352,0.6496271,0.8023121,0.71569514,0.6592876,0.926165533,0.904556873
Carnegie Mellon University,University College London,CMU-UCL,0.4363505,0.4615293,0.47921848,0.55643666,0.54322416,0.4958579,0.794422614,0.857863765
Carnegie Mellon University,Johns Hopkins University,CMU-JHU,0.5722136,0.6338995,0.6798792,0.7356457,0.72914475,0.6074474,0.890294674,0.896264519
Carnegie Mellon University,University of Illinois,CMU-UIUC,0.51344246,0.70403844,0.62714946,0.72929466,0.70212245,0.6025029,0.877297254,0.891399999
Carnegie Mellon University,University of Cambridge,CMU-UCam,0.47845656,0.47887722,0.47818437,0.5610998,0.5784567,0.45873886,0.80325071,0.847721958
Carnegie Mellon University,University of Edinburgh,CMU-UEdin,0.4566064,0.5972746,0.6245468,0.69778955,0.6814865,0.55055106,0.833203927,0.885920571
Carnegie Mellon University,Monash University,CMU-MON,0.45407376,0.57348,0.54112655,0.6345996,0.5819049,0.45790416,0.881311697,0.867219223
Carnegie Mellon University,Imperial College London,CMU-ICL,0.3889973,0.49430346,0.49946842,0.61163193,0.5632491,0.44736937,0.845321186,0.852138651
Carnegie Mellon University,University of Waterloo,CMU-UWaterloo,0.4777798,0.48105145,0.4967355,0.6126273,0.58216035,0.46232122,0.837106514,0.859190039
Carnegie Mellon University,University of Hong Kong,CMU-HKU,0.51198876,0.66398484,0.5898137,0.7155216,0.67186356,0.5440495,0.895321438,0.882046786
University of Cambridge,University College London,UCam-UCL,0.45204553,0.44863868,0.42397204,0.65223247,0.5456368,0.45749712,0.863154085,0.843679801
University of Cambridge,Johns Hopkins University,UCam-JHU,0.47676173,0.38866282,0.47084582,0.56253386,0.55523574,0.44502863,0.879854192,0.838474987
University of Cambridge,University of Illinois,UCam-UIUC,0.4693981,0.45418102,0.44143683,0.6070526,0.57261497,0.47570056,0.871906315,0.841694323
University of Cambridge,Carnegie Mellon University,UCam-CMU,0.47165352,0.44588453,0.43889695,0.58676225,0.5231887,0.42039338,0.86243504,0.829887206
University of Cambridge,University of Edinburgh,UCam-UEdin,0.48243362,0.4220256,0.44893807,0.6242762,0.5615625,0.45416498,0.843366724,0.836859311
University of Cambridge,Monash University,UCam-MON,0.51399827,0.42469162,0.45060447,0.5541346,0.51119226,0.4260497,0.873162282,0.832132365
University of Cambridge,Imperial College London,UCam-ICL,0.41088554,0.3850024,0.4143395,0.57636094,0.52365595,0.39797807,0.860341221,0.832561134
University of Cambridge,University of Waterloo,UCam-UWaterloo,0.42761764,0.38167676,0.39249012,0.56778795,0.4950327,0.4055378,0.83782859,0.826833786
University of Cambridge,University of Hong Kong,UCam-HKU,0.45209885,0.45791113,0.40072095,0.5861156,0.5470034,0.46751687,0.874870154,0.840758333
University of Edinburgh,University College London,UEdin-UCL,0.5539304,0.5467243,0.55259705,0.68255174,0.60703605,0.60206014,0.830300421,0.870327101
University of Edinburgh,Johns Hopkins University,UEdin-JHU,0.641228,0.6233009,0.6502757,0.7382572,0.6683094,0.6661194,0.840774102,0.894805148
University of Edinburgh,University of Illinois,UEdin-UIUC,0.590097,0.66192085,0.6435088,0.7971196,0.7114031,0.6848953,0.841894611,0.897316159
University of Edinburgh,Carnegie Mellon University,UEdin-CMU,0.47928607,0.42796734,0.48104554,0.6642748,0.548924,0.46577123,0.839256221,0.847547221
University of Edinburgh,University of Cambridge,UEdin-UCam,0.48471528,0.45658058,0.45220056,0.61671555,0.5332601,0.49497166,0.814053906,0.847396589
University of Edinburgh,Monash University,UEdin-MON,0.5967157,0.6196693,0.6066624,0.72246903,0.6327141,0.58556986,0.861852559,0.890063012
University of Edinburgh,Imperial College London,UEdin-ICL,0.43908927,0.47474384,0.49638256,0.71207064,0.5946302,0.5235596,0.868407238,0.865571191
University of Edinburgh,University of Waterloo,UEdin-UWaterloo,0.4918292,0.47273663,0.56413156,0.72854155,0.63491184,0.52935797,0.870785884,0.867219312
University of Edinburgh,University of Hong Kong,UEdin-HKU,0.59332484,0.58400273,0.595354,0.76871306,0.6692804,0.6421058,0.821375864,0.886068223
Monash University,University College London,MON-UCL,0.5403042,0.403758,0.5030943,0.59077966,0.5221066,0.53738457,0.847644008,0.853164309
Monash University,Johns Hopkins University,MON-JHU,0.58254117,0.45869008,0.5868265,0.6307548,0.5905592,0.60434484,0.932863533,0.883335972
Monash University,University of Illinois,MON-UIUC,0.54709035,0.45718503,0.53158295,0.67952985,0.6234888,0.56578076,0.920962621,0.881770993
Monash University,Carnegie Mellon University,MON-CMU,0.4969345,0.37367573,0.4645613,0.6098483,0.53769916,0.46651337,0.904878313,0.851055027
Monash University,University of Cambridge,MON-UCam,0.5023886,0.40572318,0.4332369,0.5749079,0.5371076,0.504722,0.854931257,0.841113964
Monash University,University of Edinburgh,MON-UEdin,0.5816051,0.46599346,0.591,0.6654057,0.64521,0.6188176,0.88275029,0.881905947
Monash University,Imperial College London,MON-ICL,0.45516372,0.4011378,0.4673227,0.6285963,0.56933266,0.5036184,0.893079426,0.858345504
Monash University,University of Waterloo,MON-UWaterloo,0.5228693,0.40167257,0.49354887,0.62225485,0.5701969,0.52976173,0.881256637,0.859629241
Monash University,University of Hong Kong,MON-HKU,0.6234379,0.5296192,0.6155292,0.6989996,0.6685639,0.64900875,0.935063419,0.89326825
Imperial College London,University College London,ICL-UCL,0.39314467,0.45035022,0.43181294,0.59298086,0.49509054,0.47518435,0.831090748,0.844965065
Imperial College London,Johns Hopkins University,ICL-JHU,0.48709416,0.605542,0.64222413,0.7374637,0.6971216,0.6412115,0.906907287,0.884493236
Imperial College London,University of Illinois,ICL-UIUC,0.5535982,0.67848754,0.6516468,0.8094214,0.745683,0.66545117,0.903409586,0.89937246
Imperial College London,Carnegie Mellon University,ICL-CMU,0.38203213,0.43454686,0.43116823,0.6444558,0.54151154,0.43053228,0.873673517,0.835726463
Imperial College London,University of Cambridge,ICL-UCam,0.38788906,0.46513957,0.44869667,0.59845513,0.55617726,0.47123322,0.847959682,0.841882118
Imperial College London,University of Edinburgh,ICL-UEdin,0.50457174,0.60997695,0.6300492,0.7646598,0.6880315,0.63343966,0.893639497,0.899064855
Imperial College London,Monash University,ICL-MON,0.56873786,0.6137591,0.5809861,0.7089555,0.6317773,0.5933401,0.913025554,0.88128956
Imperial College London,University of Waterloo,ICL-UWaterloo,0.4032217,0.4528338,0.4623088,0.68112284,0.5732147,0.47238725,0.87331927,0.850441522
Imperial College London,University of Hong Kong,ICL-HKU,0.5321632,0.6663499,0.66875017,0.80337286,0.71541476,0.65930176,0.905377173,0.892832644
University of Waterloo,University College London,UWaterloo-UCL,0.43329152,0.3502608,0.41470805,0.5694854,0.48875934,0.5007609,0.813654171,0.824473854
University of Waterloo,Johns Hopkins University,UWaterloo-JHU,0.5838578,0.5208763,0.58476067,0.6619269,0.6160881,0.5836975,0.831706965,0.846093514
University of Waterloo,University of Illinois,UWaterloo-UIUC,0.5742568,0.5180236,0.5270887,0.68330264,0.6184545,0.5371255,0.84046149,0.853711757
University of Waterloo,Carnegie Mellon University,UWaterloo-CMU,0.50951076,0.46188784,0.50231105,0.67394376,0.5621332,0.51738524,0.837808875,0.839264181
University of Waterloo,University of Cambridge,UWaterloo-UCam,0.5416151,0.48764914,0.4986899,0.6337607,0.5806869,0.54888886,0.827723023,0.847200055
University of Waterloo,University of Edinburgh,UWaterloo-UEdin,0.55023575,0.44718447,0.5523938,0.68373996,0.61096513,0.55603826,0.876990692,0.850362713
University of Waterloo,Monash University,UWaterloo-MON,0.5660828,0.49800512,0.57740235,0.6490902,0.5830101,0.5431458,0.84659912,0.848119072
University of Waterloo,Imperial College London,UWaterloo-ICL,0.5538226,0.5267308,0.5929747,0.73220587,0.6776486,0.59794563,0.87671961,0.861937103
University of Waterloo,University of Hong Kong,UWaterloo-HKU,0.57603216,0.54911983,0.58842534,0.6892532,0.6482606,0.5585525,0.826813081,0.849478093
University of Hong Kong,University College London,HKU-UCL,0.48615727,0.49228755,0.5201553,0.63283175,0.5541072,0.5904536,0.805206248,0.855759183
University of Hong Kong,Johns Hopkins University,HKU-JHU,0.6558394,0.66229886,0.76561975,0.7694917,0.72521996,0.7473653,0.930503624,0.904124445
