Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
HKU-ICL,0.7033,HKU-ICL,0.7307,UCam-ICL,0.7899,HKU-ICL,0.8587,UCam-ICL,0.7794,HKU-ICL,0.7380,HKU-ICL,0.9317,HKU-ICL,0.9352
ICL-HKU,0.6824,HKU-UCam,0.6173,HKU-ICL,0.7566,UCam-HKU,0.7978,UCam-HKU,0.7461,UCam-ICL,0.7260,HKU-CMU,0.9147,UCam-HKU,0.9163
UCam-HKU,0.6558,ICL-HKU,0.6149,UCam-HKU,0.7071,HKU-UCam,0.7909,ICL-HKU,0.7190,ICL-HKU,0.7049,UCam-HKU,0.9009,UCam-ICL,0.9142
ICL-UCam,0.6419,UCam-Oxon,0.6063,ICL-HKU,0.6833,ICL-HKU,0.7898,ICL-UCam,0.7053,HKU-UCam,0.7046,UCam-UC,0.8967,HKU-UCam,0.9119
UCam-JHU,0.6399,UCam-UC,0.5964,UCam-Oxon,0.6463,ICL-UCam,0.7653,HKU-ICL,0.7052,UCam-HKU,0.6959,UCam-UIUC,0.8945,HKU-CMU,0.9059
ICL-UIUC,0.6397,UC-JHU,0.5901,ICL-UCam,0.6426,UCam-ICL,0.7622,ICL-UIUC,0.7008,ICL-UCam,0.6480,HKU-UCam,0.8943,HKU-UIUC,0.8983
HKU-UCam,0.6346,UCam-ICL,0.5844,HKU-UCam,0.6377,HKU-CMU,0.7541,UCam-UIUC,0.6921,UCam-JHU,0.6305,HKU-UIUC,0.8909,UCam-CMU,0.8940
HKU-UIUC,0.6117,ICL-UCam,0.5820,UIUC-ICL,0.6172,HKU-Oxon,0.7444,HKU-UCam,0.6722,ICL-UIUC,0.6127,UIUC-HKU,0.8889,UCam-JHU,0.8928
ICL-JHU,0.6112,UCam-JHU,0.5756,UCam-CMU,0.6092,HKU-UIUC,0.7386,ICL-CMU,0.6642,UCam-Oxon,0.6126,UCam-JHU,0.8866,UCam-UIUC,0.8896
UCam-ICL,0.6097,HKU-CMU,0.5676,UCam-JHU,0.6018,ICL-UIUC,0.7333,UCam-CMU,0.6625,UCam-CMU,0.6048,UIUC-CMU,0.8836,HKU-JHU,0.8890
HKU-CMU,0.6089,UC-Oxon,0.5673,UCam-UIUC,0.6011,UCam-Oxon,0.7263,UCam-Oxon,0.6340,HKU-JHU,0.6020,UCam-CMU,0.8821,ICL-HKU,0.8876
ICL-CMU,0.6084,HKU-Oxon,0.5659,UCam-UC,0.5938,UIUC-HKU,0.7234,UCam-UC,0.6247,ICL-CMU,0.5994,UC-JHU,0.8764,UIUC-HKU,0.8870
ICL-Oxon,0.6076,HKU-UIUC,0.5590,ICL-UIUC,0.5936,ICL-CMU,0.7202,ICL-Oxon,0.6170,HKU-CMU,0.5958,UIUC-UCam,0.8749,HKU-Oxon,0.8863
UC-JHU,0.5902,Oxon-UC,0.5444,HKU-CMU,0.5927,ICL-Oxon,0.7170,UIUC-ICL,0.6162,ICL-JHU,0.5896,ICL-CMU,0.8746,UIUC-ICL,0.8852
UCam-UIUC,0.5848,ICL-UIUC,0.5421,HKU-UIUC,0.5821,UCam-CMU,0.7130,ICL-UC,0.6111,UCam-UIUC,0.5784,CMU-HKU,0.8745,UCam-Oxon,0.8852
JHU-UCam,0.5834,UIUC-UC,0.5344,ICL-CMU,0.5821,ICL-UC,0.7120,HKU-UIUC,0.6093,ICL-Oxon,0.5777,UC-UIUC,0.8727,ICL-UCam,0.8803
CMU-UIUC,0.5817,ICL-CMU,0.5337,ICL-Oxon,0.5818,UCam-UIUC,0.7017,UC-ICL,0.6054,HKU-UIUC,0.5712,UC-HKU,0.8721,UIUC-UCam,0.8760
UCam-CMU,0.5800,ICL-Oxon,0.5330,HKU-Oxon,0.5751,UIUC-ICL,0.6995,UIUC-UCam,0.5940,UCam-UC,0.5699,UC-UCam,0.8698,UCam-UC,0.8730
HKU-Oxon,0.5780,UC-UCam,0.5251,UC-ICL,0.5697,HKU-UC,0.6951,HKU-CMU,0.5876,CMU-ICL,0.5672,UCam-Oxon,0.8697,UIUC-UC,0.8723
UCam-UC,0.5769,UC-HKU,0.5214,UIUC-UC,0.5644,Oxon-HKU,0.6901,CMU-UIUC,0.5851,CMU-HKU,0.5580,UCam-ICL,0.8694,UC-JHU,0.8710
