Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCL-HKU,0.6573,UCL-HKU,0.6334,Oxon-UCL,0.6796,MON-HKU,0.7658,UCL-HKU,0.7305,UWaterloo-HKU,0.9011,UCL-HKU,0.8979
MON-UCL,0.6263,HKU-U of T,0.5580,UCL-HKU,0.6238,Oxon-UCL,0.7448,Oxon-UCL,0.6710,MON-HKU,0.8985,Oxon-HKU,0.8886
Oxon-UCL,0.6170,Oxon-HKU,0.5551,UCL-Oxon,0.6158,Oxon-HKU,0.7385,UCL-Oxon,0.6478,HKU-UWaterloo,0.8928,Oxon-UCL,0.8846
UCL-MON,0.6027,Oxon-UCL,0.5489,UCam-UCL,0.5898,MON-UCL,0.7338,MON-UCL,0.6228,UWaterloo-MON,0.8884,HKU-U of T,0.8789
ICL-HKU,0.6019,MON-UCL,0.5324,UCL-MON,0.5871,HKU-MON,0.7183,HKU-UCL,0.6125,MON-UWaterloo,0.8876,MON-HKU,0.8771
HKU-UCL,0.5994,MON-HKU,0.5251,UCL-ICL,0.5800,UCL-HKU,0.7159,JHU-HKU,0.6017,HKU-MON,0.8796,UCam-HKU,0.8733
ICL-UCL,0.5957,U of T-MON,0.5139,MON-UCL,0.5762,HKU-U of T,0.7022,MON-HKU,0.5939,Oxon-HKU,0.8791,MON-UCL,0.8733
UCL-ICL,0.5943,JHU-U of T,0.5138,MON-HKU,0.5726,ICL-HKU,0.6970,UCL-MON,0.5911,UCL-UEdin,0.8789,UCL-U of T,0.8716
JHU-U of T,0.5687,HKU-MON,0.5102,Oxon-HKU,0.5709,UCam-UCL,0.6861,UCam-UCL,0.5900,UEdin-UCL,0.8783,HKU-UCL,0.8702
ICL-MON,0.5673,UCL-Oxon,0.5018,UCL-UCam,0.5604,UCam-HKU,0.6858,UCL-UCam,0.5762,JHU-U of T,0.8678,UCL-UCam,0.8697
U of T-UCL,0.5652,HKU-UCam,0.5002,Oxon-MON,0.5438,HKU-UWaterloo,0.6835,UCL-ICL,0.5714,Oxon-MON,0.8677,Oxon-U of T,0.8689
MON-HKU,0.5608,U of T-UCL,0.4974,HKU-MON,0.5281,MON-U of T,0.6825,HKU-U of T,0.5653,Oxon-UWaterloo,0.8673,HKU-UCam,0.8658
