Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UWaterloo-HKU,0.7068,UWaterloo-HKU,0.6622,UWaterloo-HKU,0.7462,UWaterloo-UIUC,0.7891,HKU-UWaterloo,0.7391,UWaterloo-HKU,0.7199,HKU-MON,0.9155,UWaterloo-HKU,0.9203
Oxon-HKU,0.6711,UCam-HKU,0.6420,HKU-MON,0.6900,UCam-HKU,0.7639,HKU-UIUC,0.7249,HKU-MON,0.6892,UWaterloo-MON,0.9133,UWaterloo-UIUC,0.9045
HKU-UWaterloo,0.6593,MON-ICL,0.6245,HKU-UWaterloo,0.6774,UWaterloo-HKU,0.7629,HKU-MON,0.7148,HKU-UWaterloo,0.6882,UWaterloo-HKU,0.9122,HKU-UIUC,0.9009
Oxon-UWaterloo,0.6505,HKU-MON,0.6242,Oxon-HKU,0.6718,HKU-UIUC,0.7599,HKU-ICL,0.6892,MON-ICL,0.6679,UIUC-UWaterloo,0.9084,UCam-HKU,0.9003
HKU-MON,0.6479,HKU-UWaterloo,0.6144,UWaterloo-MON,0.6706,UWaterloo-UCL,0.7503,UWaterloo-HKU,0.6774,UCam-HKU,0.6620,UWaterloo-ICL,0.9049,UWaterloo-MON,0.8999
UIUC-UWaterloo,0.6461,Oxon-HKU,0.6025,HKU-ICL,0.6632,UWaterloo-ICL,0.7430,Oxon-UWaterloo,0.6714,Oxon-HKU,0.6531,UWaterloo-UIUC,0.9043,HKU-MON,0.8995
MON-ICL,0.6246,UCam-MON,0.5969,HKU-UIUC,0.6581,UIUC-UWaterloo,0.7427,UWaterloo-UIUC,0.6572,HKU-ICL,0.6461,MON-UIUC,0.9030,Oxon-HKU,0.8987
HKU-UIUC,0.6225,HKU-UIUC,0.5895,Oxon-UWaterloo,0.6479,MON-ICL,0.7422,Oxon-HKU,0.6561,UWaterloo-MON,0.6440,Oxon-HKU,0.8952,HKU-UWaterloo,0.8986
UIUC-MON,0.6175,Oxon-UWaterloo,0.5745,Oxon-MON,0.6268,Oxon-UWaterloo,0.7405,UIUC-MON,0.6348,HKU-UIUC,0.6311,MON-ICL,0.8947,Oxon-UWaterloo,0.8971
UWaterloo-MON,0.6145,UWaterloo-MON,0.5707,UIUC-MON,0.6267,HKU-UWaterloo,0.7387,UWaterloo-MON,0.6346,Oxon-UWaterloo,0.6309,UIUC-MON,0.8944,UIUC-MON,0.8943
Oxon-MON,0.6112,UCam-UIUC,0.5688,UWaterloo-UIUC,0.6255,HKU-ICL,0.7371,MON-ICL,0.6340,MON-UWaterloo,0.6200,UCL-UIUC,0.8941,MON-ICL,0.8939
Oxon-UIUC,0.5994,UCam-UWaterloo,0.5611,UWaterloo-ICL,0.6222,HKU-UCL,0.7338,UCam-HKU,0.6314,UWaterloo-ICL,0.6018,Oxon-UIUC,0.8932,UWaterloo-ICL,0.8935
UWaterloo-UIUC,0.5947,Oxon-MON,0.5609,MON-ICL,0.6161,Oxon-HKU,0.7238,UIUC-HKU,0.6301,UCam-MON,0.5975,MON-HKU,0.8925,UIUC-UWaterloo,0.8933
MON-UWaterloo,0.5907,UIUC-MON,0.5512,UCam-HKU,0.6149,Oxon-UIUC,0.7228,MON-UWaterloo,0.6224,MON-HKU,0.5914,Oxon-MON,0.8918,HKU-ICL,0.8913
UIUC-HKU,0.5883,MON-UWaterloo,0.5503,UIUC-HKU,0.6110,UIUC-MON,0.7173,UIUC-UWaterloo,0.6222,UCam-UWaterloo,0.5838,HKU-ICL,0.8904,MON-UWaterloo,0.8891
HKU-ICL,0.5759,MON-HKU,0.5484,UIUC-UWaterloo,0.6102,UWaterloo-MON,0.7131,UWaterloo-UCL,0.6191,Oxon-MON,0.5820,Oxon-ICL,0.8891,UWaterloo-UCL,0.8880
UIUC-Oxon,0.5694,HKU-ICL,0.5481,MON-UWaterloo,0.6018,HKU-Oxon,0.7121,UWaterloo-ICL,0.6187,UWaterloo-UIUC,0.5781,UCL-UWaterloo,0.8866,UIUC-HKU,0.8877
