Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
HKU-U of T,0.7033,U of T-HKU,0.6913,MON-HKU,0.7513,CU-HKU,0.8456,U of T-HKU,0.7794,U of T-HKU,0.7323,UIUC-JHU,0.9346,MON-HKU,0.9252
HKU-UCam,0.6828,HKU-U of T,0.6759,MON-CMU,0.7493,MON-HKU,0.8425,U of T-YU,0.7749,HKU-U of T,0.7267,CU-MON,0.9240,UIUC-HKU,0.9225
MON-HKU,0.6709,MON-HKU,0.6688,HKU-U of T,0.7089,CU-MON,0.8331,HKU-YU,0.7666,HKU-UCam,0.7067,CU-HKU,0.9221,U of T-HKU,0.9224
UIUC-NTU,0.6632,CU-UCam,0.6569,HKU-CMU,0.7062,UIUC-HKU,0.8136,MON-HKU,0.7531,MON-HKU,0.7003,UIUC-NTU,0.9220,HKU-CU,0.9200
MON-UCam,0.6624,CU-HKU,0.6543,HKU-MON,0.7029,CU-CMU,0.8018,HKU-UCam,0.7286,U of T-YU,0.6879,MON-CMU,0.9219,HKU-MON,0.9155
CU-UCam,0.6593,UCam-U of T,0.6519,HKU-CU,0.6945,HKU-MON,0.7914,CU-UCam,0.7232,MON-CMU,0.6844,MON-HKU,0.9213,CU-HKU,0.9138
U of T-HKU,0.6585,MON-CMU,0.6399,U of T-YU,0.6932,U of T-YU,0.7909,U of T-UCam,0.7198,HKU-CU,0.6833,CU-UC,0.9212,MON-CMU,0.9132
UIUC-HKU,0.6538,HKU-UCam,0.6309,HKU-UIUC,0.6911,U of T-HKU,0.7865,UIUC-Oxon,0.7124,HKU-Oxon,0.6756,NTU-JHU,0.9175,HKU-CMU,0.9115
U of T-YU,0.6534,HKU-CU,0.6304,U of T-HKU,0.6863,HKU-YU,0.7844,MON-CMU,0.7114,CU-UCam,0.6705,UWaterloo-JHU,0.9147,HKU-NTU,0.9107
CU-HKU,0.6498,HKU-Oxon,0.6162,UIUC-HKU,0.6842,MON-CMU,0.7838,CU-HKU,0.7093,MON-UCam,0.6661,CU-CMU,0.9135,HKU-YU,0.9075
HKU-CU,0.6468,MON-UCam,0.6018,CU-HKU,0.6712,HKU-UIUC,0.7824,UIUC-HKU,0.7092,HKU-YU,0.6593,JHU-NTU,0.9124,HKU-Oxon,0.9068
MON-U of T,0.6449,U of T-YU,0.5975,UIUC-MON,0.6587,HKU-CU,0.7792,HKU-CU,0.7066,CU-HKU,0.6572,MON-CU,0.9118,HKU-U of T,0.9052
MON-CMU,0.6419,Oxon-UCam,0.5965,HKU-UCam,0.6458,HKU-U of T,0.7770,HKU-U of T,0.7041,UCam-U of T,0.6515,UIUC-UC,0.9104,UIUC-NTU,0.9026
MON-NTU,0.6391,HKU-YU,0.5880,UCam-CMU,0.6419,UIUC-MON,0.7763,UIUC-CMU,0.6935,HKU-NTU,0.6511,MON-UC,0.9098,UWaterloo-HKU,0.9024
HKU-Oxon,0.6284,UEdin-Oxon,0.5880,UCam-HKU,0.6411,HKU-Oxon,0.7696,U of T-CU,0.6928,HKU-MON,0.6510,UIUC-UWaterloo,0.9076,HKU-UCam,0.9019
UIUC-Oxon,0.6283,CU-Oxon,0.5864,HKU-YU,0.6392,CU-Oxon,0.7674,UCam-CMU,0.6913,HKU-CMU,0.6508,CU-JHU,0.9071,HKU-JHU,0.9006
HKU-NTU,0.6276,MON-Oxon,0.5860,CU-MON,0.6382,CU-UIUC,0.7576,UCam-HKU,0.6878,MON-U of T,0.6437,UIUC-MON,0.9057,CU-MON,0.9005
UIUC-UCam,0.6271,CU-MON,0.5811,UWaterloo-HKU,0.6375,UWaterloo-HKU,0.7570,UIUC-UCam,0.6859,HKU-UIUC,0.6422,CU-UIUC,0.9049,HKU-UIUC,0.8996
HKU-CMU,0.6241,U of T-UCam,0.5758,UIUC-CU,0.6357,HKU-CMU,0.7569,HKU-Oxon,0.6852,UIUC-HKU,0.6384,UIUC-HKU,0.9026,UIUC-CMU,0.8970
UIUC-MON,0.6218,CU-CMU,0.5757,CU-UCam,0.6315,UIUC-CMU,0.7534,U of T-Oxon,0.6844,MON-Oxon,0.6380,CU-NTU,0.9023,UIUC-MON,0.8969
UIUC-U of T,0.6182,MON-U of T,0.5699,MON-UIUC,0.6304,YU-HKU,0.7484,UIUC-MON,0.6838,Oxon-UCam,0.6355,MON-UIUC,0.9021,CU-UCam,0.8949
MON-CU,0.6177,HKU-UIUC,0.5693,UCam-U of T,0.6295,CU-UCam,0.7454,MON-Oxon,0.6821,U of T-MON,0.6311,JHU-UWaterloo,0.9008,UCam-HKU,0.8943
MON-Oxon,0.6156,UEdin-HKU,0.5692,MON-U of T,0.6293,CU-JHU,0.7440,CU-CMU,0.6813,UIUC-NTU,0.6214,NTU-UWaterloo,0.8998,MON-Oxon,0.8942
UIUC-CMU,0.6142,U of T-Oxon,0.5688,UIUC-CMU,0.6268,UIUC-JHU,0.7368,YU-HKU,0.6797,UCam-CMU,0.6183,HKU-MON,0.8982,CU-CMU,0.8935
HKU-UIUC,0.6129,CU-UEdin,0.5683,CU-CMU,0.6254,CU-YU,0.7344,MON-UCam,0.6784,U of T-Oxon,0.6182,UWaterloo-NTU,0.8976,U of T-YU,0.8935
HKU-MON,0.6064,HKU-CMU,0.5647,MON-UCam,0.6240,CU-U of T,0.7343,UWaterloo-YU,0.6778,CU-U of T,0.6156,UIUC-CU,0.8971,HKU-UC,0.8933
Oxon-UCam,0.6029,UEdin-UCam,0.5636,UIUC-U of T,0.6239,UWaterloo-YU,0.7297,HKU-MON,0.6768,YU-HKU,0.6151,JHU-UC,0.8963,MON-CU,0.8930
UIUC-CU,0.6010,YU-HKU,0.5611,UCam-MON,0.6232,UWaterloo-MON,0.7213,CU-MON,0.6750,UCam-HKU,0.6098,UC-CU,0.8960,UCam-CMU,0.8922
U of T-UCam,0.5965,UCam-CMU,0.5597,HKU-Oxon,0.6216,UIUC-Oxon,0.7187,CU-UEdin,0.6723,HKU-UEdin,0.6081,UIUC-CMU,0.8936,YU-HKU,0.8922
UEdin-Oxon,0.5955,CU-U of T,0.5587,MON-CU,0.6200,U of T-MON,0.7172,CU-Oxon,0.6720,CU-MON,0.6049,JHU-MON,0.8935,UIUC-CU,0.8919
UCam-U of T,0.5888,HKU-NTU,0.5580,HKU-JHU,0.6136,MON-UIUC,0.7171,HKU-UIUC,0.6710,U of T-UIUC,0.6038,YU-Oxon,0.8923,UIUC-Oxon,0.8917
MON-UEdin,0.5863,UCam-Oxon,0.5551,UIUC-NTU,0.6118,U of T-Oxon,0.7160,U of T-UIUC,0.6658,U of T-UCam,0.6036,UWaterloo-YU,0.8912,MON-UCam,0.8908
HKU-UEdin,0.5833,UEdin-CMU,0.5513,UIUC-JHU,0.6089,YU-UIUC,0.7151,CU-U of T,0.6611,UCam-Oxon,0.5994,UC-HKU,0.8912,CU-Oxon,0.8899
UEdin-UCam,0.5829,UEdin-MON,0.5482,U of T-UCam,0.6084,UIUC-CU,0.7129,UCam-MON,0.6611,UEdin-UCam,0.5976,UC-UIUC,0.8911,MON-NTU,0.8898
CU-U of T,0.5828,UIUC-HKU,0.5464,MON-Oxon,0.6076,CU-UWaterloo,0.7103,HKU-UEdin,0.6591,MON-NTU,0.5949,UC-MON,0.8909,UCam-MON,0.8896
MON-UIUC,0.5798,UCam-HKU,0.5459,U of T-MON,0.6058,MON-CU,0.7094,U of T-MON,0.6588,UIUC-Oxon,0.5942,HKU-CU,0.8902,U of T-UCam,0.8868
HKU-YU,0.5781,HKU-MON,0.5456,U of T-UIUC,0.5987,YU-U of T,0.7093,UWaterloo-HKU,0.6561,CU-CMU,0.5922,CU-Oxon,0.8891,HKU-UWaterloo,0.8862
UWaterloo-YU,0.5761,YU-NTU,0.5444,HKU-UC,0.5969,UWaterloo-CMU,0.7091,UCam-U of T,0.6557,MON-CU,0.5916,UWaterloo-UC,0.8886,Oxon-HKU,0.8858
HKU-JHU,0.5710,Oxon-U of T,0.5395,UIUC-Oxon,0.5966,HKU-UCam,0.7087,UIUC-U of T,0.6540,UIUC-MON,0.5906,UC-CMU,0.8880,U of T-MON,0.8857
UCam-UEdin,0.5692,UIUC-Oxon,0.5379,YU-HKU,0.5957,YU-MON,0.7081,HKU-CMU,0.6521,YU-NTU,0.5846,U of T-MON,0.8877,JHU-HKU,0.8857
U of T-UIUC,0.5640,UCam-MON,0.5378,UIUC-UCam,0.5901,HKU-UC,0.7071,UCam-Oxon,0.6503,UEdin-Oxon,0.5844,U of T-HKU,0.8864,UIUC-UCam,0.8850
HKU-UC,0.5636,HKU-UEdin,0.5356,UIUC-UEdin,0.5900,CU-UC,0.7069,HKU-NTU,0.6473,UIUC-U of T,0.5844,NTU-UEdin,0.8851,UIUC-JHU,0.8847
UCam-HKU,0.5630,UIUC-NTU,0.5326,CU-NTU,0.5876,HKU-JHU,0.7063,MON-UIUC,0.6465,UCam-MON,0.5837,MON-U of T,0.8846,U of T-CMU,0.8827
UCam-CMU,0.5618,Oxon-HKU,0.5306,HKU-NTU,0.5851,CU-NTU,0.7055,MON-U of T,0.6411,UEdin-HKU,0.5820,JHU-CMU,0.8845,Oxon-UCam,0.8819
