Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
ICL-UCL,0.5934,CU-UCL,0.6154,UCL-HKU,0.6692,CU-UCL,0.8602,ICL-HKU,0.7152,CU-UCL,0.6336,HKU-UEdin,0.9399,CU-UCL,0.9039
HKU-CU,0.5865,CU-HKU,0.5757,CU-UCL,0.6549,UCL-CU,0.7741,CU-UCL,0.6692,NTU-HKU,0.5968,UEdin-HKU,0.9378,UCL-HKU,0.8967
HKU-MON,0.5731,HKU-UCL,0.573,ICL-HKU,0.6411,CMU-CU,0.7471,HKU-ICL,0.6572,CU-JHU,0.5965,MIT-CMU,0.9229,HKU-UEdin,0.8927
HKU-MIT,0.5721,UCL-HKU,0.5709,HKU-ICL,0.6365,UCL-UIUC,0.7287,ICL-UCL,0.6464,UEdin-HKU,0.5959,CMU-CU,0.9181,UCL-CU,0.89
CU-UCL,0.5712,UCL-CU,0.5533,HKU-UCL,0.6228,HKU-UEdin,0.7281,HKU-UEdin,0.6298,HKU-UCL,0.5904,MIT-HKU,0.9169,HKU-UCL,0.8876
CMU-NTU,0.5692,UCL-UEdin,0.5451,ICL-UCL,0.6211,UCL-MIT,0.7267,HKU-UCL,0.6207,CU-HKU,0.5899,UEdin-MIT,0.9166,MIT-UEdin,0.8859
CMU-CU,0.5681,HKU-UEdin,0.5378,JHU-Oxon,0.5944,CMU-UCL,0.7251,NTU-HKU,0.606,JHU-Oxon,0.5823,MIT-UEdin,0.9157,UCL-UEdin,0.8858
HKU-CMU,0.5646,CMU-CU,0.5347,CU-HKU,0.5909,ICL-UCL,0.7244,UIUC-HKU,0.5971,HKU-ICL,0.5807,CU-CMU,0.9144,MIT-CU,0.8857
HKU-ICL,0.5544,JHU-Oxon,0.5333,CU-JHU,0.5851,MIT-CU,0.7187,CU-HKU,0.5869,CMU-CU,0.5729,CU-UCL,0.9135,CMU-CU,0.8854
NTU-CU,0.5484,HKU-ICL,0.5326,UCL-ICL,0.575,HKU-UCL,0.7175,ICL-UIUC,0.5838,HKU-UEdin,0.5705,HKU-MIT,0.9118,UCL-UIUC,0.8853
UCL-CU,0.5448,CU-JHU,0.5322,Oxon-CU,0.5568,UCL-HKU,0.7154,HKU-Oxon,0.5833,HKU-MON,0.5659,CMU-MIT,0.9057,UCL-MIT,0.8841
CU-UIUC,0.5428,CMU-UCL,0.529,HKU-UEdin,0.5546,UEdin-HKU,0.7128,CU-JHU,0.5832,UCL-UIUC,0.5579,UCL-CU,0.9007,NTU-UEdin,0.8831
JHU-Oxon,0.5422,CU-UEdin,0.5277,Oxon-JHU,0.553,UCL-JHU,0.7111,HKU-UIUC,0.5829,UCL-JHU,0.5573,MIT-MON,0.9,HKU-MON,0.883
CU-HKU,0.5416,UCL-UIUC,0.5258,UCL-Oxon,0.5513,ICL-HKU,0.7077,HKU-MON,0.5795,HKU-CU,0.5567,MIT-UCL,0.8993,MIT-CMU,0.8826
CMU-HKU,0.5402,UEdin-HKU,0.5247,NTU-HKU,0.5513,UIUC-UCL,0.7044,JHU-Oxon,0.5769,CU-Oxon,0.5534,CMU-UCL,0.8991,NTU-HKU,0.8822
MIT-CMU,0.5384,HKU-MON,0.5152,UCL-CU,0.5473,HKU-ICL,0.7026,UCL-HKU,0.5753,UCL-HKU,0.5509,NTU-UEdin,0.8988,HKU-ICL,0.8821
NTU-HKU,0.5383,HKU-Oxon,0.5133,CMU-CU,0.5462,UEdin-CU,0.7003,CU-Oxon,0.5742,ICL-UCL,0.5498,MIT-UIUC,0.8984,CU-HKU,0.8817
NTU-CMU,0.5361,UCL-JHU,0.5114,UCL-JHU,0.5434,UEdin-UCL,0.6995,NTU-UEdin,0.5707,UCL-Oxon,0.5492,MON-UEdin,0.8983,HKU-CU,0.8806
UCL-HKU,0.5354,NTU-HKU,0.5068,CMU-JHU,0.542,CU-JHU,0.6978,UCL-UIUC,0.5694,HKU-Oxon,0.5487,MON-HKU,0.898,MON-UEdin,0.8804
NTU-MON,0.534,MON-UEdin,0.5054,HKU-MON,0.5324,HKU-MIT,0.6931,UIUC-Oxon,0.5666,UCL-CU,0.5423,MON-MIT,0.8977,CMU-JHU,0.8797
CMU-UEdin,0.534,CU-Oxon,0.5051,Oxon-CMU,0.5247,HKU-CU,0.6917,CU-UIUC,0.5628,Oxon-CU,0.5386,NTU-HKU,0.8977,MIT-UCL,0.8796
UIUC-Oxon,0.5324,UCL-UCam,0.5046,CU-Oxon,0.5243,CU-MIT,0.6911,UCL-UCam,0.5593,Oxon-CMU,0.5375,UEdin-CMU,0.8975,NTU-MON,0.8796
JHU-CMU,0.5312,UEdin-UCL,0.5004,HKU-Oxon,0.5183,CMU-JHU,0.688,HKU-MIT,0.5582,HKU-MIT,0.5365,UCL-CMU,0.8973,CMU-UCL,0.878
CU-Oxon,0.5294,CMU-UEdin,0.5004,JHU-CU,0.5158,MIT-UCL,0.6836,ICL-UEdin,0.5561,ICL-HKU,0.5344,UEdin-MON,0.896,MON-HKU,0.8779
HKU-Oxon,0.5286,UCL-Oxon,0.499,UCL-UIUC,0.5158,CU-HKU,0.6804,HKU-NTU,0.5532,CMU-UCL,0.5338,MIT-CU,0.8946,CU-JHU,0.8775
MON-MIT,0.5282,HKU-MIT,0.4987,JHU-HKU,0.5148,CMU-UEdin,0.6788,UEdin-HKU,0.5506,CMU-JHU,0.5337,UIUC-MIT,0.8942,MIT-MON,0.8775
