Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
JHU-MON,0.666,MON-UCL,0.5963,UIUC-UCL,0.7027,UIUC-UCL,0.8197,UIUC-MON,0.7396,JHU-MON,0.6385,HKU-Georgia Tech,0.9271,UIUC-MON,0.9157
UCL-MON,0.6642,UIUC-Oxon,0.5931,UIUC-MON,0.6774,HKU-Georgia Tech,0.8041,UIUC-UCL,0.7264,UIUC-UCL,0.6384,UIUC-UCL,0.9251,UIUC-UCL,0.9155
UIUC-MON,0.6597,EPFL-Oxon,0.5912,JHU-MON,0.6636,UIUC-EPFL,0.7897,JHU-MON,0.7169,UIUC-Oxon,0.6225,UCL-Georgia Tech,0.9235,JHU-MON,0.9141
UIUC-Oxon,0.6368,UIUC-UCL,0.5769,UIUC-Oxon,0.6523,UIUC-Georgia Tech,0.7647,UIUC-JHU,0.6966,UIUC-JHU,0.6164,UIUC-Georgia Tech,0.9228,JHU-UCL,0.9032
UIUC-JHU,0.6129,JHU-MON,0.565,UIUC-EPFL,0.628,HKU-UCL,0.7496,MON-UCL,0.6886,UIUC-EPFL,0.6122,UCL-UIUC,0.9215,MON-UCL,0.9018
JHU-Oxon,0.6074,HKU-Georgia Tech,0.5615,UIUC-JHU,0.6276,Georgia Tech-UCL,0.7405,JHU-UCL,0.6684,UIUC-MON,0.6097,HKU-UIUC,0.9183,UIUC-JHU,0.9009
UCL-UIUC,0.6017,MON-JHU,0.5577,MON-UCL,0.6252,HKU-UIUC,0.7349,UIUC-EPFL,0.6593,EPFL-Oxon,0.6042,HKU-MON,0.9161,Georgia Tech-HKU,0.8993
EPFL-Oxon,0.6001,MON-Georgia Tech,0.5518,MON-Oxon,0.6021,UEdin-UCL,0.7313,HKU-Georgia Tech,0.652,Georgia Tech-HKU,0.5924,UIUC-EPFL,0.9145,HKU-Georgia Tech,0.8975
MON-JHU,0.5972,UIUC-MON,0.5513,EPFL-UCL,0.5946,Georgia Tech-HKU,0.7277,UIUC-Georgia Tech,0.6429,HKU-Georgia Tech,0.571,UCL-MON,0.9098,UIUC-EPFL,0.8949
UIUC-UCL,0.5937,MON-CMU,0.5509,JHU-UCL,0.5939,UIUC-JHU,0.7272,MON-JHU,0.636,JHU-UCL,0.5659,Georgia Tech-HKU,0.9062,UIUC-Georgia Tech,0.8935
HKU-Oxon,0.5905,UCL-UIUC,0.5469,Georgia Tech-HKU,0.5871,UCL-UIUC,0.7271,UIUC-HKU,0.6337,MON-UCL,0.5574,Georgia Tech-UIUC,0.9061,MON-Georgia Tech,0.8911
MON-UCL,0.5875,UIUC-JHU,0.5414,EPFL-Oxon,0.585,EPFL-UCL,0.7244,UIUC-Oxon,0.6297,UCam-Georgia Tech,0.5477,UIUC-MON,0.9036,UIUC-Oxon,0.8905
JHU-UCL,0.572,CMU-UEdin,0.5333,UCL-UIUC,0.5845,UCL-Georgia Tech,0.7231,JHU-HKU,0.6217,UIUC-Georgia Tech,0.5397,MON-UIUC,0.9033,UCL-UIUC,0.8903
Georgia Tech-HKU,0.5664,UIUC-EPFL,0.5297,Georgia Tech-Oxon,0.5844,UIUC-UEdin,0.7179,MON-UEdin,0.6145,JHU-EPFL,0.5368,Georgia Tech-MON,0.9025,MON-JHU,0.8898
HKU-MON,0.5659,MON-Oxon,0.5295,HKU-Georgia Tech,0.5843,UIUC-Oxon,0.7145,MON-Georgia Tech,0.6122,EPFL-UCL,0.5316,UCL-HKU,0.901,UCL-MON,0.8896
UCL-Georgia Tech,0.5655,EPFL-MON,0.5287,UIUC-Georgia Tech,0.5841,Georgia Tech-UIUC,0.7131,JHU-Georgia Tech,0.6122,MON-JHU,0.5308,UIUC-Oxon,0.9002,EPFL-Oxon,0.8887
