Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
HKU-MON,0.6628,CMU-UIUC,0.7040,HKU-JHU,0.7656,ICL-UIUC,0.8094,JHU-HKU,0.7512,HKU-JHU,0.7474,MON-HKU,0.9351,UIUC-HKU,0.9046
HKU-JHU,0.6558,UIUC-HKU,0.6904,HKU-MON,0.7410,ICL-HKU,0.8034,ICL-UIUC,0.7457,HKU-MON,0.7194,MON-JHU,0.9329,HKU-JHU,0.9041
UEdin-JHU,0.6412,ICL-UIUC,0.6785,JHU-HKU,0.7347,UIUC-HKU,0.8023,JHU-UIUC,0.7375,HKU-UIUC,0.6904,HKU-JHU,0.9305,HKU-MON,0.9040
JHU-HKU,0.6412,JHU-HKU,0.6750,JHU-UEdin,0.6971,UEdin-UIUC,0.7971,JHU-UEdin,0.7336,HKU-UEdin,0.6887,UIUC-JHU,0.9284,UIUC-JHU,0.8994
MON-HKU,0.6234,JHU-UIUC,0.6721,HKU-UEdin,0.6829,HKU-UIUC,0.7815,CMU-JHU,0.7291,UEdin-UIUC,0.6849,UIUC-HKU,0.9262,ICL-UIUC,0.8994
JHU-UEdin,0.6107,HKU-UIUC,0.6675,CMU-JHU,0.6799,HKU-JHU,0.7695,HKU-JHU,0.7252,UEdin-JHU,0.6661,JHU-HKU,0.9246,UIUC-UEdin,0.8993
JHU-MON,0.5993,ICL-HKU,0.6663,JHU-UIUC,0.6795,UEdin-HKU,0.7687,HKU-UEdin,0.7161,ICL-UIUC,0.6655,HKU-MON,0.9243,ICL-UEdin,0.8991
UEdin-MON,0.5967,CMU-HKU,0.6640,JHU-MON,0.6761,UIUC-UEdin,0.7661,UIUC-HKU,0.7157,UIUC-UEdin,0.6628,MON-UIUC,0.9210,HKU-UIUC,0.8980
UEdin-HKU,0.5933,HKU-JHU,0.6623,HKU-UIUC,0.6698,ICL-UEdin,0.7647,ICL-HKU,0.7154,JHU-UEdin,0.6621,UIUC-MON,0.9201,UEdin-UIUC,0.8973
UEdin-UIUC,0.5901,UEdin-UIUC,0.6619,ICL-HKU,0.6688,JHU-HKU,0.7638,HKU-UIUC,0.7129,JHU-UIUC,0.6620,JHU-MON,0.9186,CMU-JHU,0.8963
JHU-UIUC,0.5864,HKU-MON,0.6537,UIUC-JHU,0.6584,HKU-UEdin,0.7536,UEdin-UIUC,0.7114,JHU-HKU,0.6614,HKU-UIUC,0.9157,UEdin-JHU,0.8948
UWaterloo-JHU,0.5839,CMU-JHU,0.6339,UIUC-UEdin,0.6539,HKU-MON,0.7515,CMU-UIUC,0.7021,ICL-HKU,0.6593,ICL-MON,0.9130,MON-HKU,0.8933
UIUC-HKU,0.5828,JHU-UEdin,0.6322,ICL-UIUC,0.6516,JHU-UIUC,0.7475,ICL-JHU,0.6971,UIUC-HKU,0.6593,JHU-UIUC,0.9121,ICL-HKU,0.8928
MON-JHU,0.5825,UEdin-JHU,0.6233,UEdin-JHU,0.6503,UIUC-JHU,0.7415,UIUC-UEdin,0.6966,UIUC-JHU,0.6510,ICL-JHU,0.9069,JHU-UEdin,0.8927
MON-UEdin,0.5816,UEdin-MON,0.6197,UIUC-HKU,0.6496,UEdin-JHU,0.7383,HKU-MON,0.6916,MON-HKU,0.6490,ICL-HKU,0.9054,JHU-UIUC,0.8924
UWaterloo-HKU,0.5760,UIUC-JHU,0.6194,UEdin-UIUC,0.6435,JHU-UEdin,0.7379,UIUC-JHU,0.6900,UEdin-HKU,0.6421,MON-CMU,0.9049,CMU-UIUC,0.8914
UWaterloo-UIUC,0.5743,UIUC-UEdin,0.6183,ICL-JHU,0.6422,ICL-JHU,0.7375,ICL-UEdin,0.6880,ICL-JHU,0.6412,UIUC-ICL,0.9043,UEdin-MON,0.8901
CMU-JHU,0.5722,ICL-MON,0.6138,ICL-UEdin,0.6300,CMU-JHU,0.7356,CMU-UEdin,0.6815,ICL-UEdin,0.6334,ICL-UIUC,0.9034,JHU-HKU,0.8885
UCL-MON,0.5689,ICL-UEdin,0.6100,CMU-UIUC,0.6271,UWaterloo-ICL,0.7322,UWaterloo-ICL,0.6776,MON-UEdin,0.6188,UIUC-CMU,0.8984,HKU-UEdin,0.8877
ICL-MON,0.5687,ICL-JHU,0.6055,CMU-UEdin,0.6245,CMU-UIUC,0.7293,CMU-HKU,0.6719,JHU-MON,0.6077,CMU-HKU,0.8953,UEdin-HKU,0.8861
HKU-UIUC,0.5673,UIUC-MON,0.6013,MON-HKU,0.6155,UEdin-UWaterloo,0.7285,UEdin-HKU,0.6693,CMU-JHU,0.6074,ICL-UEdin,0.8936,CMU-UEdin,0.8859
UWaterloo-MON,0.5661,HKU-UEdin,0.6005,UEdin-MON,0.6067,UEdin-MON,0.7225,JHU-MON,0.6691,MON-JHU,0.6043,MON-ICL,0.8931,ICL-JHU,0.8845
UIUC-JHU,0.5640,CMU-UEdin,0.5973,UEdin-HKU,0.5954,UIUC-ICL,0.7157,MON-HKU,0.6686,CMU-UIUC,0.6025,UIUC-UEdin,0.8905,MON-JHU,0.8833
UEdin-UCL,0.5539,JHU-MON,0.5864,UWaterloo-ICL,0.5930,CMU-HKU,0.7155,UEdin-JHU,0.6683,UEdin-UCL,0.6021,CMU-JHU,0.8903,CMU-HKU,0.8820
HKU-UEdin,0.5539,UEdin-HKU,0.5840,MON-UEdin,0.5910,UEdin-ICL,0.7121,UWaterloo-HKU,0.6483,UWaterloo-ICL,0.5979,HKU-CMU,0.8837,MON-UEdin,0.8819
UWaterloo-ICL,0.5538,CMU-MON,0.5735,CMU-HKU,0.5898,ICL-MON,0.7090,MON-UEdin,0.6452,ICL-MON,0.5933,JHU-CMU,0.8830,UIUC-MON,0.8819
ICL-UIUC,0.5536,UWaterloo-HKU,0.5491,UWaterloo-HKU,0.5884,HKU-UWaterloo,0.7036,HKU-UWaterloo,0.6423,HKU-UWaterloo,0.5931,MON-UEdin,0.8828,MON-UIUC,0.8818
UWaterloo-UEdin,0.5502,UEdin-UCL,0.5467,MON-JHU,0.5868,HKU-ICL,0.7011,HKU-ICL,0.6418,HKU-UCL,0.5905,CMU-MON,0.8813,ICL-MON,0.8813
MON-UIUC,0.5471,HKU-ICL,0.5387,UWaterloo-JHU,0.5848,MON-HKU,0.6990,UIUC-ICL,0.6408,UEdin-MON,0.5856,MON-UWaterloo,0.8813,UIUC-ICL,0.8810
UWaterloo-UCam,0.5416,UIUC-ICL,0.5374,ICL-MON,0.5810,CMU-UEdin,0.6978,UEdin-UWaterloo,0.6349,UWaterloo-JHU,0.5837,UCam-JHU,0.8799,JHU-MON,0.8802
MON-UCL,0.5403,HKU-UWaterloo,0.5357,UWaterloo-MON,0.5774,UWaterloo-HKU,0.6893,UEdin-MON,0.6327,UIUC-MON,0.5750,CMU-UIUC,0.8773,HKU-ICL,0.8717
UIUC-UEdin,0.5400,MON-HKU,0.5296,HKU-ICL,0.5735,UWaterloo-UEdin,0.6837,ICL-MON,0.6318,HKU-ICL,0.5695,UWaterloo-UEdin,0.8770,UEdin-UCL,0.8703
JHU-UCL,0.5342,UWaterloo-ICL,0.5267,UIUC-MON,0.5715,UWaterloo-UIUC,0.6833,MON-UIUC,0.6235,MON-UIUC,0.5658,UWaterloo-ICL,0.8767,HKU-UWaterloo,0.8692
ICL-HKU,0.5322,UWaterloo-JHU,0.5209,HKU-UWaterloo,0.5710,JHU-MON,0.6830,UWaterloo-UIUC,0.6185,UWaterloo-HKU,0.5586,UIUC-UWaterloo,0.8760,UEdin-UWaterloo,0.8672
HKU-UWaterloo,0.5256,UWaterloo-UIUC,0.5180,JHU-UWaterloo,0.5701,UEdin-UCL,0.6826,UWaterloo-JHU,0.6161,UWaterloo-UEdin,0.5560,JHU-ICL,0.8757,CMU-MON,0.8672
JHU-UWaterloo,0.5250,JHU-UCL,0.5029,UEdin-UWaterloo,0.5641,ICL-UWaterloo,0.6811,UWaterloo-UEdin,0.6110,JHU-UWaterloo,0.5522,UCam-HKU,0.8749,UEdin-ICL,0.8656
UCL-HKU,0.5237,UWaterloo-MON,0.4980,UIUC-ICL,0.5564,UIUC-UWaterloo,0.6807,UEdin-UCL,0.6070,CMU-UEdin,0.5506,ICL-CMU,0.8737,UIUC-UCL,0.8639
UCL-UEdin,0.5235,JHU-ICL,0.4972,UEdin-UCL,0.5526,MON-UIUC,0.6795,UIUC-MON,0.6007,UWaterloo-UCam,0.5489,ICL-UWaterloo,0.8733,JHU-UCL,0.8625
MON-UWaterloo,0.5229,UIUC-UCam,0.4951,UWaterloo-UEdin,0.5524,HKU-CMU,0.6747,HKU-CMU,0.5978,UIUC-ICL,0.5478,UCam-MON,0.8732,UWaterloo-ICL,0.8619
UCam-MON,0.5140,JHU-UWaterloo,0.4946,JHU-ICL,0.5522,UIUC-MON,0.6740,JHU-ICL,0.5948,JHU-UCL,0.5473,UCam-UIUC,0.8719,UIUC-UWaterloo,0.8602
CMU-UIUC,0.5134,CMU-ICL,0.4943,CMU-MON,0.5411,UWaterloo-CMU,0.6739,UEdin-ICL,0.5946,HKU-UCam,0.5448,UEdin-UWaterloo,0.8708,MON-UWaterloo,0.8596
CMU-HKU,0.5120,HKU-CMU,0.4931,MON-UIUC,0.5316,MON-UEdin,0.6654,HKU-UCam,0.5939,CMU-HKU,0.5440,UEdin-ICL,0.8684,UIUC-CMU,0.8595
UWaterloo-CMU,0.5095,HKU-UCL,0.4923,HKU-CMU,0.5314,UEdin-CMU,0.6643,MON-JHU,0.5906,UWaterloo-MON,0.5431,JHU-UEdin,0.8666,CMU-UWaterloo,0.8592
ICL-UEdin,0.5046,HKU-UCam,0.4916,UWaterloo-UIUC,0.5271,UWaterloo-JHU,0.6619,UWaterloo-MON,0.5830,MON-UCL,0.5374,UCam-UCL,0.8632,HKU-CMU,0.8590
MON-UCam,0.5024,UWaterloo-UCam,0.4876,HKU-UCL,0.5202,UIUC-CMU,0.6550,UIUC-UWaterloo,0.5825,UWaterloo-UIUC,0.5371,UCam-CMU,0.8624,MON-ICL,0.8583
UCL-UCam,0.4997,UIUC-UCL,0.4816,JHU-UCL,0.5133,UCam-UCL,0.6522,CMU-UWaterloo,0.5822,MON-UWaterloo,0.5298,UIUC-UCam,0.8622,CMU-UCL,0.8579
UIUC-MON,0.4992,CMU-UWaterloo,0.4811,JHU-CMU,0.5098,JHU-UWaterloo,0.6503,CMU-MON,0.5819,UEdin-UWaterloo,0.5294,UEdin-MON,0.8619,UIUC-UCam,0.8570
UIUC-UCam,0.4985,CMU-UCam,0.4789,UIUC-UWaterloo,0.5082,UWaterloo-MON,0.6491,UWaterloo-UCam,0.5807,UCL-UCam,0.5287,UCam-ICL,0.8603,HKU-UCL,0.8558
MON-CMU,0.4969,UIUC-UWaterloo,0.4769,MON-UCL,0.5031,ICL-CMU,0.6445,CMU-UCam,0.5785,UIUC-UCL,0.5279,HKU-ICL,0.8600,JHU-ICL,0.8553
UIUC-ICL,0.4947,UEdin-ICL,0.4747,UWaterloo-CMU,0.5023,JHU-ICL,0.6362,ICL-UWaterloo,0.5732,UEdin-ICL,0.5236,JHU-UWaterloo,0.8587,JHU-UWaterloo,0.8553
UEdin-UWaterloo,0.4918,UIUC-CMU,0.4734,CMU-ICL,0.4995,CMU-MON,0.6346,UCam-UIUC,0.5726,HKU-CMU,0.5175,MON-UCam,0.8549,UWaterloo-UIUC,0.8537
ICL-JHU,0.4871,UEdin-UWaterloo,0.4727,UIUC-CMU,0.4994,UWaterloo-UCam,0.6338,MON-UWaterloo,0.5702,UWaterloo-CMU,0.5174,UIUC-UCL,0.8504,MON-UCL,0.8532
HKU-UCL,0.4862,MON-UEdin,0.4660,UWaterloo-UCam,0.4987,HKU-UCL,0.6328,MON-ICL,0.5693,UCL-UEdin,0.5137,ICL-UCam,0.8480,CMU-ICL,0.8521
UEdin-UCam,0.4847,ICL-UCam,0.4651,CMU-UWaterloo,0.4967,MON-JHU,0.6308,JHU-UWaterloo,0.5667,JHU-ICL,0.5120,MON-UCL,0.8476,MON-CMU,0.8511
UCam-UEdin,0.4824,UCL-UCam,0.4627,UEdin-ICL,0.4964,MON-ICL,0.6286,CMU-ICL,0.5632,MON-UCam,0.5047,UCL-UCam,0.8471,ICL-UWaterloo,0.8504
JHU-UCam,0.4820,UWaterloo-CMU,0.4619,UIUC-UCL,0.4959,UIUC-UCL,0.6277,UWaterloo-CMU,0.5621,JHU-UCam,0.5044,UWaterloo-MON,0.8466,UWaterloo-UEdin,0.8504
UIUC-UWaterloo,0.4811,CMU-UCL,0.4615,HKU-UCam,0.4939,UCam-UEdin,0.6243,UCam-UEdin,0.5616,MON-ICL,0.5036,CMU-ICL,0.8453,HKU-UCam,0.8501
UEdin-CMU,0.4793,MON-JHU,0.4587,MON-UWaterloo,0.4935,MON-UWaterloo,0.6223,UIUC-UCam,0.5571,UCL-HKU,0.5019,UCam-UEdin,0.8434,UWaterloo-HKU,0.8495
CMU-UCam,0.4785,UCam-HKU,0.4579,JHU-UCam,0.4832,JHU-CMU,0.6190,ICL-UCam,0.5562,UWaterloo-UCL,0.5008,HKU-UWaterloo,0.8431,UWaterloo-MON,0.8481
UCL-JHU,0.4779,MON-UIUC,0.4572,UIUC-UCam,0.4824,UCL-UEdin,0.6178,UIUC-CMU,0.5553,UIUC-UCam,0.4971,UEdin-UIUC,0.8419,CMU-UCam,0.8477
JHU-CMU,0.4779,UEdin-UCam,0.4566,UEdin-CMU,0.4810,UCL-UIUC,0.6176,UCam-JHU,0.5552,CMU-UCL,0.4959,UEdin-JHU,0.8408,UEdin-CMU,0.8475
CMU-UWaterloo,0.4778,UCL-UIUC,0.4558,CMU-UCL,0.4792,UEdin-UCam,0.6167,HKU-UCL,0.5541,UEdin-UCam,0.4950,UWaterloo-UIUC,0.8405,UEdin-UCam,0.8474
UCam-JHU,0.4768,UCL-HKU,0.4552,CMU-UCam,0.4782,CMU-UWaterloo,0.6126,UEdin-CMU,0.5489,UIUC-UWaterloo,0.4930,UEdin-CMU,0.8393,UWaterloo-UCam,0.8472
UIUC-CMU,0.4756,UCam-UIUC,0.4542,UCL-UEdin,0.4760,CMU-ICL,0.6116,UCam-HKU,0.5470,UCL-MON,0.4926,UCam-UWaterloo,0.8378,UWaterloo-JHU,0.8461
HKU-CMU,0.4720,ICL-UWaterloo,0.4528,UCam-JHU,0.4708,UCL-UCam,0.6114,JHU-UCam,0.5461,UCL-UIUC,0.4905,UWaterloo-CMU,0.8378,UCL-UCam,0.8454
