Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCam-Oxon,0.6075,Oxon-UCam,0.6842,UCam-Oxon,0.7094,UCam-Oxon,0.8483,UCam-Oxon,0.7552,UCam-Oxon,0.6989,Oxon-UCam,0.9158,Oxon-UCam,0.9032
Oxon-UCL,0.5786,UCam-Oxon,0.6695,Oxon-HKU,0.6746,Oxon-UCam,0.8049,Oxon-UCam,0.7112,Oxon-HKU,0.6459,HKU-NTU,0.9135,U of T-HU,0.9011
Oxon-NTU,0.5717,Oxon-HKU,0.6314,Oxon-UCL,0.6602,HKU-UCL,0.7688,Oxon-HKU,0.7074,Oxon-UCL,0.6206,UCam-Oxon,0.9100,Oxon-UCL,0.9010
Oxon-HKU,0.5665,U of T-HU,0.6041,MIT-UIUC,0.6575,Oxon-NTU,0.7510,Oxon-UCL,0.6798,U of T-UIUC,0.6032,HKU-UCL,0.9087,UCam-Oxon,0.8972
EPFL-UCam,0.5497,HKU-UCL,0.5905,HKU-UCL,0.6554,U of T-HU,0.7449,CMU-HKU,0.6767,Oxon-UCam,0.6017,Georgia Tech-NTU,0.9007,Oxon-HKU,0.8965
HU-HKU,0.5475,HKU-UIUC,0.5862,CMU-HKU,0.6491,UCam-YU,0.7378,HKU-HU,0.6735,HKU-UCL,0.6002,UCL-NTU,0.8941,MIT-UIUC,0.8888
EPFL-Oxon,0.5371,MIT-UIUC,0.5731,U of T-HU,0.6486,Oxon-UCL,0.7345,U of T-HU,0.6694,MIT-UIUC,0.6001,UWaterloo-NTU,0.8930,HKU-UCL,0.8851
U of T-HU,0.5370,Oxon-NTU,0.5708,Oxon-UCam,0.6450,Oxon-HKU,0.7280,HU-HKU,0.6619,Oxon-NTU,0.5898,HKU-Oxon,0.8929,U of T-MIT,0.8847
Oxon-UCam,0.5364,HKU-HU,0.5685,HKU-HU,0.6397,HU-HKU,0.7246,HKU-U of T,0.6548,HKU-UIUC,0.5753,Oxon-NTU,0.8897,CMU-HKU,0.8843
U of T-UCL,0.5345,MIT-HKU,0.5683,U of T-UCL,0.6351,UCam-UCL,0.7237,Oxon-CMU,0.6397,Oxon-U of T,0.5700,Georgia Tech-UCL,0.8869,UIUC-HKU,0.8835
HKU-UCam,0.5336,HKU-Oxon,0.5655,MIT-HKU,0.6159,HKU-NTU,0.7218,U of T-HKU,0.6391,U of T-HKU,0.5661,HKU-UWaterloo,0.8855,Oxon-NTU,0.8826
HKU-NTU,0.5317,Oxon-YU,0.5649,U of T-HKU,0.6108,CMU-HKU,0.7183,HKU-UCL,0.6321,UCam-UCL,0.5653,UWaterloo-UCL,0.8846,MIT-U of T,0.8808
UCam-UCL,0.5257,UCam-HU,0.5646,U of T-UIUC,0.6090,UCam-HKU,0.7173,UCam-HU,0.6274,HU-HKU,0.5646,HKU-UCam,0.8840,MIT-HU,0.8799
HKU-UCL,0.5254,Oxon-UCL,0.5643,HKU-UIUC,0.6083,U of T-UCam,0.7160,HKU-CMU,0.6268,HKU-U of T,0.5618,EPFL-UWaterloo,0.8832,MIT-HKU,0.8797
U of T-NTU,0.5247,HKU-UCam,0.5627,MIT-U of T,0.6037,HKU-YU,0.7148,Oxon-U of T,0.6246,HKU-HU,0.5607,EPFL-NTU,0.8813,U of T-UCam,0.8795
HKU-UIUC,0.5210,U of T-HKU,0.5603,HKU-U of T,0.6020,Oxon-YU,0.7131,HKU-UIUC,0.6241,HKU-NTU,0.5603,Oxon-UCL,0.8808,UCam-HU,0.8791
U of T-UIUC,0.5178,U of T-UCL,0.5532,MIT-HU,0.5999,U of T-NTU,0.7129,HKU-UCam,0.6188,UCam-HU,0.5570,UWaterloo-Oxon,0.8797,Oxon-HU,0.8787
HKU-HU,0.5144,UCam-HKU,0.5461,Oxon-U of T,0.5999,MIT-HU,0.7104,UCam-UCL,0.6180,Oxon-EPFL,0.5547,UWaterloo-HKU,0.8792,UCam-UCL,0.8786
U of T-HKU,0.5137,U of T-UIUC,0.5457,HU-HKU,0.5909,Oxon-HU,0.7088,Oxon-NTU,0.6178,CMU-HKU,0.5514,HKU-UIUC,0.8791,Oxon-U of T,0.8786
HKU-Oxon,0.5117,U of T-UCam,0.5395,U of T-MIT,0.5908,HKU-UIUC,0.7087,U of T-UIUC,0.6146,U of T-HU,0.5487,Georgia Tech-UWaterloo,0.8775,EPFL-HU,0.8782
HU-UCam,0.5116,EPFL-HKU,0.5385,U of T-UCam,0.5882,HKU-Oxon,0.7001,UCam-U of T,0.6138,U of T-NTU,0.5448,U of T-HU,0.8767,HKU-HU,0.8778
