Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UIUC-UEdin,0.4940,UIUC-UEdin,0.4339,UIUC-UEdin,0.4879,UIUC-UEdin,0.6368,UIUC-UEdin,0.5391,UIUC-UEdin,0.4732,UIUC-UEdin,0.8698,UIUC-UEdin,0.8616
UIUC-MON,0.5473,UIUC-MON,0.4451,UIUC-MON,0.5279,UIUC-MON,0.6300,UIUC-MON,0.5755,UIUC-MON,0.5039,UIUC-MON,0.8848,UIUC-MON,0.8746
UIUC-ICL,0.4916,UIUC-ICL,0.4137,UIUC-ICL,0.5100,UIUC-ICL,0.6593,UIUC-ICL,0.5866,UIUC-ICL,0.4759,UIUC-ICL,0.8804,UIUC-ICL,0.8715
UIUC-HKU,0.5302,UIUC-HKU,0.4656,UIUC-HKU,0.5483,UIUC-HKU,0.5638,UIUC-HKU,0.4753,UIUC-HKU,0.4611,UIUC-HKU,0.8448,UIUC-HKU,0.8670
UEdin-UIUC,0.5182,UEdin-UIUC,0.4817,UEdin-UIUC,0.4463,UEdin-UIUC,0.6808,UEdin-UIUC,0.5439,UEdin-UIUC,0.4653,UEdin-UIUC,0.8280,UEdin-UIUC,0.8467
UEdin-MON,0.4532,UEdin-MON,0.4242,UEdin-MON,0.3752,UEdin-MON,0.6006,UEdin-MON,0.4726,UEdin-MON,0.3700,UEdin-MON,0.8382,UEdin-MON,0.8423
UEdin-ICL,0.4211,UEdin-ICL,0.4462,UEdin-ICL,0.4379,UEdin-ICL,0.6267,UEdin-ICL,0.4882,UEdin-ICL,0.3985,UEdin-ICL,0.8396,UEdin-ICL,0.8375
UEdin-HKU,0.3494,UEdin-HKU,0.2354,UEdin-HKU,0.2797,UEdin-HKU,0.5091,UEdin-HKU,0.3439,UEdin-HKU,0.1785,UEdin-HKU,0.7985,UEdin-HKU,0.8025
MON-UIUC,0.5450,MON-UIUC,0.5432,MON-UIUC,0.5406,MON-UIUC,0.6703,MON-UIUC,0.5869,MON-UIUC,0.5175,MON-UIUC,0.9110,MON-UIUC,0.8792
MON-UEdin,0.5721,MON-UEdin,0.5971,MON-UEdin,0.4983,MON-UEdin,0.6982,MON-UEdin,0.5702,MON-UEdin,0.5255,MON-UEdin,0.8754,MON-UEdin,0.8884
MON-ICL,0.5106,MON-ICL,0.5434,MON-ICL,0.4915,MON-ICL,0.6902,MON-ICL,0.5776,MON-ICL,0.5095,MON-ICL,0.8709,MON-ICL,0.8665
MON-HKU,0.5053,MON-HKU,0.4878,MON-HKU,0.4343,MON-HKU,0.5786,MON-HKU,0.4609,MON-HKU,0.4462,MON-HKU,0.8527,MON-HKU,0.8593
ICL-UIUC,0.5017,ICL-UIUC,0.4735,ICL-UIUC,0.5127,ICL-UIUC,0.6712,ICL-UIUC,0.6104,ICL-UIUC,0.5133,ICL-UIUC,0.8652,ICL-UIUC,0.8642
ICL-UEdin,0.5053,ICL-UEdin,0.5144,ICL-UEdin,0.4818,ICL-UEdin,0.6710,ICL-UEdin,0.5597,ICL-UEdin,0.4944,ICL-UEdin,0.8762,ICL-UEdin,0.8662
ICL-MON,0.5371,ICL-MON,0.5386,ICL-MON,0.5628,ICL-MON,0.7233,ICL-MON,0.6652,ICL-MON,0.5360,ICL-MON,0.8875,ICL-MON,0.8761
ICL-HKU,0.3671,ICL-HKU,0.3656,ICL-HKU,0.3926,ICL-HKU,0.5461,ICL-HKU,0.4073,ICL-HKU,0.3267,ICL-HKU,0.8383,ICL-HKU,0.8346
HKU-UIUC,0.4461,HKU-UIUC,0.3726,HKU-UIUC,0.4956,HKU-UIUC,0.5826,HKU-UIUC,0.5242,HKU-UIUC,0.4428,HKU-UIUC,0.8576,HKU-UIUC,0.8534
HKU-UEdin,0.3408,HKU-UEdin,0.2889,HKU-UEdin,0.3665,HKU-UEdin,0.5155,HKU-UEdin,0.4012,HKU-UEdin,0.3115,HKU-UEdin,0.8246,HKU-UEdin,0.8314
HKU-MON,0.4218,HKU-MON,0.3552,HKU-MON,0.4364,HKU-MON,0.5538,HKU-MON,0.4918,HKU-MON,0.4561,HKU-MON,0.8548,HKU-MON,0.8561
HKU-ICL,0.2866,HKU-ICL,0.2352,HKU-ICL,0.3257,HKU-ICL,0.4933,HKU-ICL,0.3726,HKU-ICL,0.3162,HKU-ICL,0.8246,HKU-ICL,0.8258
