Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UWaterloo-UCam,0.5399,UWaterloo-UCam,0.5210,UWaterloo-UCam,0.5530,UWaterloo-UCam,0.7351,UWaterloo-UCam,0.6821,UWaterloo-UCam,0.5889,UCam-UEdin,0.9099,UWaterloo-UCam,0.8763
UCam-UEdin,0.5295,MON-UEdin,0.4594,UEdin-UCam,0.5050,UWaterloo-UEdin,0.6988,UWaterloo-UEdin,0.5906,UWaterloo-UEdin,0.4670,UWaterloo-UEdin,0.9079,UEdin-UCam,0.8679
UWaterloo-UEdin,0.5179,MON-UCam,0.4181,UWaterloo-UEdin,0.4992,UWaterloo-MON,0.6934,MON-UEdin,0.5848,MON-UEdin,0.4622,UCam-UWaterloo,0.9076,UCam-UWaterloo,0.8667
MON-UCL,0.4894,MON-UWaterloo,0.3978,UWaterloo-MON,0.4676,MON-UEdin,0.6917,UCam-UEdin,0.5796,UEdin-UCam,0.4607,UWaterloo-UCam,0.9059,UCam-UEdin,0.8658
UEdin-UCam,0.4738,UEdin-UCam,0.3954,MON-UEdin,0.4652,UCam-UEdin,0.6655,UWaterloo-MON,0.5717,UCam-UWaterloo,0.4556,UWaterloo-MON,0.8967,MON-UWaterloo,0.8592
MON-UCam,0.4690,UEdin-MON,0.3778,UEdin-MON,0.4646,UCam-UWaterloo,0.6558,UCam-UWaterloo,0.5556,UEdin-MON,0.4551,UEdin-UCam,0.8909,UWaterloo-UEdin,0.8577
MON-UWaterloo,0.4689,UWaterloo-MON,0.3762,UCam-UEdin,0.4412,MON-UWaterloo,0.6534,UCam-MON,0.5514,UWaterloo-MON,0.4490,UCam-MON,0.8884,MON-UCam,0.8576
UCam-MON,0.4575,UCam-UWaterloo,0.3701,MON-UCam,0.4177,UCam-MON,0.6423,MON-UWaterloo,0.5293,MON-UCam,0.4392,MON-UEdin,0.8883,UEdin-MON,0.8573
UCam-UWaterloo,0.4564,UWaterloo-UEdin,0.3567,MON-UWaterloo,0.4121,MON-UCam,0.6149,UEdin-UCam,0.5290,UCam-UEdin,0.4272,MON-UCam,0.8836,UCam-MON,0.8572
UWaterloo-MON,0.4563,UCam-UEdin,0.3476,UCam-UWaterloo,0.4094,UEdin-MON,0.6139,UEdin-MON,0.5013,UCam-MON,0.4248,MON-UWaterloo,0.8798,UWaterloo-MON,0.8570
MON-UEdin,0.4517,UCam-MON,0.3419,UCam-MON,0.4079,UEdin-UWaterloo,0.6032,MON-UCam,0.4949,MON-UWaterloo,0.4245,UEdin-MON,0.8689,UEdin-UWaterloo,0.8560
UEdin-MON,0.4318,MON-UCL,0.3382,UEdin-UWaterloo,0.4066,UEdin-UCam,0.5828,UEdin-UWaterloo,0.4828,UEdin-UWaterloo,0.4197,UEdin-UWaterloo,0.8666,MON-UEdin,0.8540
UCL-MON,0.4184,UEdin-UWaterloo,0.3072,MON-UCL,0.3896,UCL-MON,0.5315,UCL-UCam,0.4514,MON-UCL,0.3859,UCL-UCam,0.8286,MON-UCL,0.8394
UEdin-UWaterloo,0.4106,UCL-MON,0.2871,UCL-UEdin,0.3620,UCL-UEdin,0.5314,UCL-UEdin,0.4376,UCL-UEdin,0.3481,UCL-UEdin,0.8252,UCL-UCam,0.8198
UCL-UCam,0.4010,UCL-UEdin,0.2827,UCL-UCam,0.3393,UCL-UCam,0.5140,UCL-MON,0.4312,UCL-UCam,0.3454,UCL-MON,0.8189,UCL-MON,0.8197
UCL-UEdin,0.3810,UCL-UCam,0.2809,UCL-MON,0.3349,UCL-UWaterloo,0.5012,MON-UCL,0.4147,UCam-UCL,0.3333,UCL-UWaterloo,0.8186,UCL-UWaterloo,0.8197
UCam-UCL,0.3651,UCL-UWaterloo,0.2394,UCL-UWaterloo,0.3054,MON-UCL,0.4965,UCL-UWaterloo,0.3973,UCL-MON,0.3148,UCam-UCL,0.8170,UCL-UEdin,0.8145
UCL-UWaterloo,0.3543,UWaterloo-UCL,0.2158,UWaterloo-UCL,0.2996,UWaterloo-UCL,0.4664,UCam-UCL,0.3907,UEdin-UCL,0.2896,UWaterloo-UCL,0.8090,UCam-UCL,0.8124
UWaterloo-UCL,0.3060,UCam-UCL,0.2019,UEdin-UCL,0.2767,UCam-UCL,0.4297,UWaterloo-UCL,0.3789,UCL-UWaterloo,0.2843,MON-UCL,0.8082,UEdin-UCL,0.8072
UEdin-UCL,0.2744,UEdin-UCL,0.1348,UCam-UCL,0.2389,UEdin-UCL,0.3523,UEdin-UCL,0.2982,UWaterloo-UCL,0.2776,UEdin-UCL,0.8052,UWaterloo-UCL,0.8036
