University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University College London,Johns Hopkins University,UCL-JHU,0.5273249,0.40886503,0.4915228,0.5786591,0.58363444,0.53164756,0.814333372,0.852870659
University College London,University of Toronto,UCL-U of T,0.5554928,0.45758817,0.51682484,0.6361496,0.6389804,0.56025714,0.85073241,0.871605443
University College London,University of Illinois,UCL-UIUC,0.464437,0.37282783,0.503017,0.55727947,0.5838851,0.49409953,0.839824913,0.840156178
University College London,University of Cambridge,UCL-UCam,0.5087321,0.4439437,0.56035763,0.59405005,0.66090107,0.5762342,0.810143709,0.869709431
University College London,University of Oxford,UCL-Oxon,0.54500556,0.5017645,0.6157686,0.6699675,0.650819,0.6477528,0.813507862,0.851352598
University College London,University of Edinburgh,UCL-UEdin,0.5414854,0.46364102,0.5233314,0.6329753,0.5951387,0.488689,0.878928727,0.864931077
University College London,Monash University,UCL-MON,0.6026701,0.49172002,0.5871383,0.6679165,0.64122105,0.59113485,0.771249481,0.86373267
University College London,Imperial College London,UCL-ICL,0.59430754,0.44985443,0.5799826,0.59718657,0.625783,0.5713822,0.783232737,0.85778572
University College London,University of Waterloo,UCL-UWaterloo,0.47187638,0.31606618,0.48696154,0.553976,0.58643377,0.45401105,0.78781649,0.829343521
University College London,University of Hong Kong,UCL-HKU,0.6573298,0.6333643,0.6237705,0.71592236,0.70569485,0.73054475,0.782470021,0.897927364
Johns Hopkins University,University College London,JHU-UCL,0.5545968,0.3476665,0.40793622,0.48209202,0.5280459,0.49761486,0.818286444,0.818644264
Johns Hopkins University,University of Toronto,JHU-U of T,0.5687149,0.5137624,0.481263,0.60346127,0.5610836,0.5404723,0.867844276,0.849287639
Johns Hopkins University,University of Illinois,JHU-UIUC,0.47665185,0.38340327,0.36971977,0.53392464,0.455237,0.41077945,0.836220205,0.819714106
Johns Hopkins University,University of Cambridge,JHU-UCam,0.50999767,0.41651952,0.42238796,0.56459683,0.52034706,0.48244813,0.826349179,0.834053896
Johns Hopkins University,University of Oxford,JHU-Oxon,0.4247241,0.3460656,0.38611686,0.46409044,0.44630507,0.44223544,0.816149019,0.798089761
Johns Hopkins University,University of Edinburgh,JHU-UEdin,0.5460791,0.3741876,0.4226943,0.55080175,0.5186368,0.4792753,0.812380082,0.817863073
Johns Hopkins University,Monash University,JHU-MON,0.5087987,0.33855018,0.37700433,0.5426032,0.4369256,0.45091957,0.795993518,0.814510201
Johns Hopkins University,Imperial College London,JHU-ICL,0.5229064,0.36749524,0.39448202,0.52586806,0.4737323,0.4537074,0.815314921,0.814621461
Johns Hopkins University,University of Waterloo,JHU-UWaterloo,0.52043116,0.3666135,0.44073114,0.57235116,0.5267222,0.47360134,0.830483942,0.823332095
Johns Hopkins University,University of Hong Kong,JHU-HKU,0.51416034,0.47580767,0.47476348,0.5755818,0.5364194,0.60172206,0.794323162,0.848860297
University of Toronto,University College London,U of T-UCL,0.5651921,0.4974338,0.4697922,0.6396031,0.5959911,0.5305296,0.861358378,0.85206433
University of Toronto,Johns Hopkins University,U of T-JHU,0.40952754,0.35322803,0.32890424,0.5765106,0.4951563,0.4116488,0.834476404,0.842166383
University of Toronto,University of Illinois,U of T-UIUC,0.35638273,0.3369077,0.30163714,0.55738294,0.46443042,0.40416917,0.841710775,0.832315027
University of Toronto,University of Cambridge,U of T-UCam,0.35330427,0.38209084,0.34526718,0.55252784,0.5050103,0.4292755,0.796131621,0.841778578
University of Toronto,University of Oxford,U of T-Oxon,0.36510777,0.43153092,0.45407358,0.59199923,0.45852914,0.4309461,0.803964503,0.835840609
University of Toronto,University of Edinburgh,U of T-UEdin,0.41527587,0.40279204,0.31730732,0.6022124,0.4962205,0.38629532,0.862240958,0.839216549
University of Toronto,Monash University,U of T-MON,0.4474557,0.5139372,0.4050123,0.6700707,0.5311921,0.45595688,0.778734674,0.845433726
University of Toronto,Imperial College London,U of T-ICL,0.40692538,0.39243546,0.3610282,0.5977279,0.5200427,0.423168,0.779368653,0.828687612
University of Toronto,University of Waterloo,U of T-UWaterloo,0.37851202,0.30306813,0.35308173,0.58362615,0.46907997,0.37492043,0.809525928,0.827638558
University of Toronto,University of Hong Kong,U of T-HKU,0.4402481,0.47368336,0.36536956,0.6569117,0.51849896,0.46386647,0.761520552,0.855933122
University of Illinois,University College London,UIUC-UCL,0.3466748,0.2649891,0.3724346,0.59235287,0.5066202,0.37318772,0.721173839,0.801616291
University of Illinois,Johns Hopkins University,UIUC-JHU,0.34323853,0.22552603,0.3066214,0.54239565,0.41777834,0.3244506,0.804961665,0.808348874
University of Illinois,University of Toronto,UIUC-U of T,0.3561276,0.33370927,0.29473096,0.5887982,0.46421126,0.35391733,0.796085417,0.825393325
University of Illinois,University of Cambridge,UIUC-UCam,0.3141197,0.25310823,0.33644512,0.53591436,0.4357787,0.32590672,0.806479675,0.81217162
University of Illinois,University of Oxford,UIUC-Oxon,0.31244415,0.28063142,0.3507475,0.53672296,0.43463966,0.33554006,0.762050308,0.79627155
University of Illinois,University of Edinburgh,UIUC-UEdin,0.34828374,0.17212558,0.24153988,0.4775177,0.34562334,0.22812685,0.695220288,0.794625538
University of Illinois,Monash University,UIUC-MON,0.37974092,0.32325378,0.39427334,0.61553085,0.46847907,0.3998155,0.797267587,0.813728672
University of Illinois,Imperial College London,UIUC-ICL,0.36255926,0.28897208,0.41904777,0.59442437,0.46308592,0.36462578,0.829436164,0.815040398
University of Illinois,University of Waterloo,UIUC-UWaterloo,0.35646436,0.1867272,0.30949575,0.55180675,0.42063394,0.3390398,0.799719822,0.801089777
University of Illinois,University of Hong Kong,UIUC-HKU,0.30525514,0.2872272,0.30720344,0.6245757,0.4702398,0.29629898,0.797801458,0.806932433
University of Cambridge,University College London,UCam-UCL,0.43679157,0.45767435,0.5897919,0.6860979,0.6289921,0.5899514,0.808082973,0.865596827
University of Cambridge,Johns Hopkins University,UCam-JHU,0.37883547,0.36424476,0.43323502,0.56328756,0.48492485,0.44526497,0.853585388,0.850032589
University of Cambridge,University of Toronto,UCam-U of T,0.3793765,0.4336863,0.4249452,0.59872144,0.55151546,0.42969713,0.843386902,0.862293471
University of Cambridge,University of Illinois,UCam-UIUC,0.3305561,0.33222187,0.43375552,0.5717903,0.46991596,0.4046172,0.830627624,0.840954944
