University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University College London,University of Illinois,UCL-UIUC,0.38256955,0.36290184,0.46033815,0.69321233,0.5002907,0.36083198,0.894072396,0.850037056
University College London,University of Cambridge,UCL-UCam,0.4071185,0.28553897,0.3156612,0.5278408,0.4184165,0.34158367,0.819153895,0.824382846
University College London,University of Oxford,UCL-Oxon,0.32564583,0.27685595,0.37201595,0.62846863,0.4696868,0.3041535,0.86831812,0.839284419
University College London,Monash University,UCL-MON,0.41466898,0.32060137,0.42577505,0.5991698,0.47216016,0.34713173,0.873016836,0.835177944
University College London,Imperial College London,UCL-ICL,0.4016727,0.3193929,0.44936725,0.648773,0.49192867,0.38192192,0.860009517,0.847739802
University College London,University of Waterloo,UCL-UWaterloo,0.45240355,0.41396594,0.49549147,0.70289683,0.5496661,0.44939822,0.886599327,0.864439433
University College London,University of Hong Kong,UCL-HKU,0.51577824,0.42925465,0.5129776,0.6636625,0.5261065,0.45344955,0.877349397,0.866317923
University of Illinois,University College London,UIUC-UCL,0.36033574,0.39577103,0.46000186,0.6544501,0.4601424,0.37828776,0.870678448,0.848506577
University of Illinois,University of Cambridge,UIUC-UCam,0.50089943,0.4552669,0.43966332,0.5653424,0.5074695,0.43138796,0.828802382,0.849457862
University of Illinois,University of Oxford,UIUC-Oxon,0.56940264,0.4384052,0.49682903,0.68125856,0.5151157,0.42516047,0.875951306,0.876851833
University of Illinois,Monash University,UIUC-MON,0.61746156,0.55123216,0.62669575,0.71728003,0.6348276,0.5465906,0.894439891,0.894340535
University of Illinois,Imperial College London,UIUC-ICL,0.5612896,0.5034402,0.5605565,0.7062247,0.5678947,0.49908933,0.876200235,0.880548831
University of Illinois,University of Waterloo,UIUC-UWaterloo,0.6461381,0.5239558,0.6102059,0.74274,0.6221633,0.56816375,0.90839765,0.893252421
University of Illinois,University of Hong Kong,UIUC-HKU,0.58832824,0.5315006,0.61099035,0.67919,0.63006234,0.5378159,0.885065003,0.887666464
University of Cambridge,University College London,UCam-UCL,0.36573216,0.41710082,0.4102668,0.6464314,0.47696933,0.45368823,0.798885431,0.852430722
University of Cambridge,University of Illinois,UCam-UIUC,0.47272477,0.5687587,0.5116872,0.6600023,0.58271784,0.5524873,0.794361867,0.878672258
University of Cambridge,University of Oxford,UCam-Oxon,0.42379603,0.47474685,0.42457798,0.63682073,0.5481049,0.45130903,0.808649878,0.857482057
University of Cambridge,Monash University,UCam-MON,0.5245582,0.59691113,0.53972113,0.6310294,0.5912851,0.5974817,0.828311965,0.87718959
University of Cambridge,Imperial College London,UCam-ICL,0.4583136,0.5278446,0.491171,0.63402545,0.5435238,0.559266,0.811753903,0.866810022
University of Cambridge,University of Waterloo,UCam-UWaterloo,0.4811402,0.5610796,0.52422905,0.652354,0.60837865,0.5838071,0.789628468,0.882660054
