University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Columbia University,Johns Hopkins University,CU-JHU,0.5269371,0.52258605,0.55387574,0.7439594,0.6005771,0.5085766,0.907060094,0.878371277
Columbia University,Yale University,CU-YU,0.4780675,0.38922286,0.4367922,0.7344294,0.5643081,0.45673,0.87078791,0.857629817
Columbia University,University of Toronto,CU-U of T,0.5827738,0.55870914,0.57387,0.7342834,0.66114426,0.6155714,0.868665292,0.871528358
Columbia University,University of Illinois,CU-UIUC,0.5025579,0.46851778,0.5407284,0.7575636,0.6193583,0.49439573,0.904905167,0.869479614
Columbia University,Carnegie Mellon University,CU-CMU,0.5607405,0.5756749,0.6253796,0.8018465,0.68133056,0.5922403,0.913501859,0.893518582
Columbia University,University of Cambridge,CU-UCam,0.6592977,0.6568554,0.63151073,0.7454394,0.7232238,0.67050743,0.87071624,0.894869414
Columbia University,University of Oxford,CU-Oxon,0.53503555,0.58635634,0.5831832,0.767442,0.6720422,0.5792746,0.889149915,0.889890104
Columbia University,University of Edinburgh,CU-UEdin,0.5412843,0.5683383,0.57543457,0.6801222,0.67231107,0.57161283,0.819904038,0.862643046
Columbia University,Monash University,CU-MON,0.552708,0.5811289,0.638161,0.8331012,0.67500645,0.6049301,0.924044467,0.90050428
Columbia University,University of California,CU-UC,0.48039392,0.42382863,0.48544273,0.70689064,0.5569772,0.44610873,0.921203348,0.861531295
Columbia University,NTU,CU-NTU,0.5584196,0.5250782,0.58761084,0.7055459,0.63387847,0.5704443,0.902288143,0.880955899
Columbia University,University of Waterloo,CU-UWaterloo,0.44025555,0.42274162,0.45735097,0.71034586,0.5512457,0.4457388,0.863507825,0.864994364
Columbia University,University of Hong Kong,CU-HKU,0.64983284,0.6543049,0.67122304,0.84562767,0.7093316,0.6572007,0.922137364,0.91383667
Johns Hopkins University,Columbia University,JHU-CU,0.457445,0.40473777,0.5510348,0.6588026,0.57220393,0.4451674,0.879941297,0.876010632
Johns Hopkins University,Yale University,JHU-YU,0.52124035,0.3457945,0.4950692,0.6297499,0.5610992,0.41708136,0.876889684,0.857458675
Johns Hopkins University,University of Toronto,JHU-U of T,0.47774258,0.42871013,0.56125575,0.604585,0.5589881,0.46959406,0.824437407,0.864452788
Johns Hopkins University,University of Illinois,JHU-UIUC,0.4858925,0.3834816,0.53394777,0.6453938,0.53741235,0.42929134,0.876942719,0.865290114
Johns Hopkins University,Carnegie Mellon University,JHU-CMU,0.50745285,0.41527066,0.54279596,0.67733413,0.54637104,0.44487533,0.884548978,0.878637943
Johns Hopkins University,University of Cambridge,JHU-UCam,0.53859663,0.497189,0.5421227,0.6094651,0.58837867,0.48380297,0.843494432,0.872057082
Johns Hopkins University,University of Oxford,JHU-Oxon,0.5117533,0.43591508,0.51113063,0.61686313,0.50981814,0.48748526,0.860352934,0.861152237
Johns Hopkins University,University of Edinburgh,JHU-UEdin,0.45622322,0.44146118,0.54726243,0.5643445,0.59498835,0.4730509,0.87468962,0.858351234
Johns Hopkins University,Monash University,JHU-MON,0.51626027,0.41008466,0.5793532,0.69149846,0.5448577,0.49744105,0.893460578,0.88063019
Johns Hopkins University,University of California,JHU-UC,0.45243055,0.37209436,0.48043376,0.6493852,0.531522,0.41833556,0.89632943,0.862532358
Johns Hopkins University,NTU,JHU-NTU,0.50704014,0.4205977,0.56453604,0.6380491,0.5992445,0.4478249,0.912433816,0.876824079
Johns Hopkins University,University of Waterloo,JHU-UWaterloo,0.45349422,0.41642404,0.46966577,0.6625053,0.5759659,0.44368735,0.900772335,0.873950096
