University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Harvard University,Massachusetts Institute of Technology,HU-MIT,0.5029484,0.42416444,0.51856077,0.6556186,0.5187064,0.50854784,0.857828069,0.866323399
Harvard University,Yale University,HU-YU,0.41312853,0.43411237,0.49536806,0.64304394,0.46865043,0.48044568,0.819617166,0.839748242
Harvard University,University of Toronto,HU-U of T,0.5078451,0.48163214,0.57814723,0.66068554,0.5984982,0.54174954,0.857282691,0.87576789
Harvard University,University of Illinois,HU-UIUC,0.43679896,0.3999864,0.49759397,0.649332,0.57403475,0.5084062,0.83987168,0.837483958
Harvard University,Carnegie Mellon University,HU-CMU,0.45906392,0.41129175,0.47474125,0.6393802,0.5924247,0.47648534,0.783791583,0.851834663
Harvard University,Georgia Institute of Technology,HU-Georgia Tech,0.3962481,0.33399066,0.4459617,0.6250638,0.5363558,0.40143934,0.837881071,0.834695648
Harvard University,University of Cambridge,HU-UCam,0.511559,0.49422744,0.528326,0.6807818,0.5850125,0.53187406,0.825981027,0.858014383
Harvard University,University of Oxford,HU-Oxon,0.46587908,0.4347346,0.47870955,0.6973705,0.582054,0.5101437,0.845643474,0.860754405
Harvard University,University College London,HU-UCL,0.4804967,0.43817592,0.54338074,0.67605615,0.581679,0.5278249,0.851521537,0.856041803
Harvard University,EPFL,HU-EPFL,0.47806185,0.40073687,0.50656617,0.6747955,0.57495904,0.48855457,0.856735195,0.857288369
Harvard University,NTU,HU-NTU,0.4683617,0.4010176,0.49260974,0.66012263,0.56000805,0.46857056,0.852791877,0.838215716
Harvard University,University of Waterloo,HU-UWaterloo,0.41136354,0.28775346,0.36476624,0.5926821,0.44607675,0.36365825,0.841338139,0.838198928
Harvard University,University of Hong Kong,HU-HKU,0.54745555,0.52633923,0.5909144,0.72458655,0.66193986,0.5645808,0.866530078,0.869894762
Massachusetts Institute of Technology,Harvard University,MIT-HU,0.4892436,0.50807077,0.5999429,0.71038127,0.5289535,0.5126876,0.864098567,0.879866654
Massachusetts Institute of Technology,Yale University,MIT-YU,0.4538774,0.46809196,0.50542617,0.68039477,0.47706655,0.46072018,0.826580313,0.864649305
Massachusetts Institute of Technology,University of Toronto,MIT-U of T,0.44815063,0.48989323,0.6036621,0.670271,0.52681667,0.5097267,0.852571376,0.880783526
Massachusetts Institute of Technology,University of Illinois,MIT-UIUC,0.50323695,0.5730863,0.657474,0.6902669,0.59436184,0.60006315,0.850122474,0.888779123
Massachusetts Institute of Technology,Carnegie Mellon University,MIT-CMU,0.3903338,0.430415,0.5070324,0.63309884,0.4753118,0.50321114,0.745683641,0.851700071
Massachusetts Institute of Technology,Georgia Institute of Technology,MIT-Georgia Tech,0.4326111,0.43467402,0.5157195,0.65560514,0.49617407,0.45813107,0.841328079,0.854616131
Massachusetts Institute of Technology,University of Cambridge,MIT-UCam,0.40631977,0.4570782,0.4578589,0.6922145,0.47586846,0.43411127,0.808212818,0.863245232
Massachusetts Institute of Technology,University of Oxford,MIT-Oxon,0.45751044,0.47429836,0.46281043,0.68915033,0.48673096,0.4540671,0.826529169,0.863840896
Massachusetts Institute of Technology,University College London,MIT-UCL,0.48074046,0.53704196,0.586401,0.6890371,0.50318706,0.5282093,0.844618846,0.87013958
Massachusetts Institute of Technology,EPFL,MIT-EPFL,0.45933625,0.4698988,0.5157592,0.66823936,0.51560664,0.4458568,0.854310793,0.86070578
Massachusetts Institute of Technology,NTU,MIT-NTU,0.49481446,0.5068845,0.56857663,0.6888501,0.56832755,0.48959756,0.842146458,0.871789695
Massachusetts Institute of Technology,University of Waterloo,MIT-UWaterloo,0.39884177,0.35264468,0.38789526,0.6018301,0.39901257,0.39982265,0.820137748,0.840847849
Massachusetts Institute of Technology,University of Hong Kong,MIT-HKU,0.50103205,0.5682972,0.61593705,0.6916643,0.5716873,0.5370247,0.86566006,0.879678188
Yale University,Harvard University,YU-HU,0.38620755,0.3691883,0.4069264,0.6057319,0.4093608,0.35460505,0.82558051,0.832982231
Yale University,Massachusetts Institute of Technology,YU-MIT,0.43014774,0.3286567,0.37886408,0.56801146,0.42700204,0.3397789,0.822264565,0.842971284
Yale University,University of Toronto,YU-U of T,0.42858472,0.31696215,0.37694392,0.57846326,0.38770187,0.34999204,0.816731144,0.829508684
Yale University,University of Illinois,YU-UIUC,0.367582,0.3424811,0.34654963,0.60255736,0.42779663,0.35108766,0.822905943,0.832471645
Yale University,Carnegie Mellon University,YU-CMU,0.31345645,0.2883192,0.316982,0.5234545,0.3955615,0.2981096,0.745572042,0.814895599
Yale University,Georgia Institute of Technology,YU-Georgia Tech,0.3374201,0.26688614,0.33117133,0.5478653,0.3758352,0.28747106,0.813183645,0.815747624
Yale University,University of Cambridge,YU-UCam,0.46554372,0.44880036,0.26677912,0.6758818,0.3591508,0.34502506,0.859978391,0.838634203
Yale University,University of Oxford,YU-Oxon,0.39707246,0.341604,0.24693584,0.6590317,0.33932742,0.25189084,0.862443824,0.831157938
Yale University,University College London,YU-UCL,0.4349966,0.36102825,0.37484813,0.63771427,0.4121353,0.3580103,0.84131111,0.843111612
Yale University,EPFL,YU-EPFL,0.33723432,0.2936415,0.315032,0.5755216,0.39788365,0.2832577,0.811104809,0.822750043
Yale University,NTU,YU-NTU,0.39199162,0.32177693,0.3362522,0.60501194,0.4127442,0.3036539,0.849508892,0.824515269
Yale University,University of Waterloo,YU-UWaterloo,0.33797082,0.22680667,0.1926193,0.5362233,0.27208245,0.24666142,0.821687425,0.805647746
Yale University,University of Hong Kong,YU-HKU,0.41409612,0.38145852,0.39332795,0.650943,0.44655642,0.34113708,0.830946602,0.833691453
University of Toronto,Harvard University,U of T-HU,0.53704077,0.6041464,0.6485651,0.7449267,0.6694105,0.5486993,0.876749652,0.901058223
University of Toronto,Massachusetts Institute of Technology,U of T-MIT,0.50165886,0.48289338,0.5907888,0.63967127,0.5462091,0.51512367,0.860199844,0.884701704
University of Toronto,Yale University,U of T-YU,0.4852218,0.440404,0.5163274,0.6765306,0.51797825,0.4626496,0.817551404,0.855727569
