University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University College London,University of Cambridge,UCL-UCam,0.40095758,0.28088564,0.33926356,0.5140069,0.45139718,0.34544232,0.828641754,0.81981624
University College London,University of Edinburgh,UCL-UEdin,0.38099122,0.28267857,0.36202613,0.53138715,0.43761963,0.3480706,0.825205852,0.81452512
University College London,Monash University,UCL-MON,0.41838455,0.28707328,0.33485478,0.5314842,0.431168,0.31478187,0.818944644,0.819722659
University College London,University of Waterloo,UCL-UWaterloo,0.35429204,0.2393838,0.30541292,0.5012296,0.39727208,0.28426033,0.818554463,0.819721593
University of Cambridge,University College London,UCam-UCL,0.36513782,0.20185976,0.23887247,0.4296588,0.3906956,0.333285,0.816961422,0.812373888
University of Cambridge,University of Edinburgh,UCam-UEdin,0.529453,0.34762946,0.4411745,0.6654829,0.5795921,0.42718703,0.909941345,0.865793417
University of Cambridge,Monash University,UCam-MON,0.45753255,0.3419438,0.4079123,0.64225763,0.5513777,0.4248293,0.888395259,0.857174166
University of Cambridge,University of Waterloo,UCam-UWaterloo,0.45642832,0.37008864,0.40937358,0.6557732,0.55559886,0.45555845,0.907646548,0.86665681
University of Edinburgh,University College London,UEdin-UCL,0.27437294,0.13478126,0.2767334,0.35226598,0.29815647,0.2895743,0.805151698,0.807159488
University of Edinburgh,University of Cambridge,UEdin-UCam,0.47382936,0.39539325,0.50504035,0.58279943,0.5289516,0.46067575,0.890915856,0.867918913
University of Edinburgh,Monash University,UEdin-MON,0.43175498,0.37776214,0.46457052,0.61392015,0.50129783,0.45508656,0.868923408,0.857332746
University of Edinburgh,University of Waterloo,UEdin-UWaterloo,0.4106227,0.3072003,0.4065736,0.6032061,0.48278517,0.41974446,0.866559875,0.856016511
Monash University,University College London,MON-UCL,0.489395,0.33819404,0.38959908,0.49654594,0.41465536,0.38593975,0.808202435,0.839385229
Monash University,University of Cambridge,MON-UCam,0.4690311,0.4180653,0.41769344,0.6148527,0.49486375,0.43917197,0.883606515,0.857605152
Monash University,University of Edinburgh,MON-UEdin,0.45168525,0.4594368,0.4652081,0.6917254,0.58480966,0.46220535,0.888282307,0.853978608
Monash University,University of Waterloo,MON-UWaterloo,0.4688904,0.39780045,0.4120854,0.65343624,0.52934015,0.42453492,0.8798184,0.859155894
University of Waterloo,University College London,UWaterloo-UCL,0.3059633,0.21579833,0.29956576,0.4664015,0.37886873,0.27756575,0.809033199,0.803568481
University of Waterloo,University of Cambridge,UWaterloo-UCam,0.53990716,0.5209506,0.55301446,0.7350954,0.6821105,0.5888534,0.905862941,0.876336076
University of Waterloo,University of Edinburgh,UWaterloo-UEdin,0.5178823,0.35668725,0.49916044,0.69876397,0.5906357,0.4669699,0.907891813,0.857675079
University of Waterloo,Monash University,UWaterloo-MON,0.4562737,0.3761833,0.46764868,0.69335574,0.57168394,0.44897527,0.896658206,0.85701308
